,restarts,conflicts,decisions,propagations,CPU time,Result,cnf_id,sample_id,file,final GPU time,refinement CPU time,refinement GPU time,GPU time,time
0,2.0,1770176.0,2011076.0,92128158.0,59.9914,INDETERMINATE,0,0,data/test/3sat/350/3sat_0.cnf,9.809688091278076,0.0,0.0,9.809688091278076,69.80108809127807
1,2.0,959551.0,1102682.0,51483552.0,30.0181,SATISFIABLE,1,0,data/test/3sat/350/3sat_1.cnf,9.809688091278076,0.0,0.0,9.809688091278076,39.82778809127808
2,1.0,4191.0,5084.0,247196.0,0.062697,SATISFIABLE,2,0,data/test/3sat/350/3sat_10.cnf,9.809688091278076,0.0,0.0,9.809688091278076,9.872385091278076
3,2.0,1578608.0,1788026.0,79513690.0,59.9875,INDETERMINATE,3,0,data/test/3sat/350/3sat_100.cnf,9.809688091278076,0.0,0.0,9.809688091278076,69.79718809127807
4,2.0,1114845.0,1256581.0,59824365.0,35.7062,SATISFIABLE,4,0,data/test/3sat/350/3sat_101.cnf,9.809688091278076,0.0,0.0,9.809688091278076,45.51588809127808
5,1.0,2611.0,3237.0,150188.0,0.047014,SATISFIABLE,5,0,data/test/3sat/350/3sat_102.cnf,9.809688091278076,0.0,0.0,9.809688091278076,9.856702091278077
6,2.0,1610701.0,1810532.0,87022944.0,54.4506,SATISFIABLE,6,0,data/test/3sat/350/3sat_103.cnf,9.809688091278076,0.0,0.0,9.809688091278076,64.26028809127808
7,2.0,1623233.0,1836932.0,85305320.0,59.976,INDETERMINATE,7,0,data/test/3sat/350/3sat_104.cnf,9.809688091278076,0.0,0.0,9.809688091278076,69.78568809127808
8,1.0,184.0,350.0,11754.0,0.014452,SATISFIABLE,8,0,data/test/3sat/350/3sat_105.cnf,9.809688091278076,0.0,0.0,9.809688091278076,9.824140091278077
9,2.0,1608944.0,1827926.0,81961471.0,59.9437,INDETERMINATE,9,0,data/test/3sat/350/3sat_106.cnf,9.809688091278076,0.0,0.0,9.809688091278076,69.75338809127808
10,1.0,698.0,929.0,43038.0,0.012639,SATISFIABLE,10,0,data/test/3sat/350/3sat_107.cnf,9.809688091278076,0.0,0.0,9.809688091278076,9.822327091278076
11,2.0,1662042.0,1887699.0,87303633.0,59.9885,INDETERMINATE,11,0,data/test/3sat/350/3sat_108.cnf,9.809688091278076,0.0,0.0,9.809688091278076,69.79818809127808
12,1.0,5208.0,6254.0,305029.0,0.077697,SATISFIABLE,12,0,data/test/3sat/350/3sat_109.cnf,9.809688091278076,0.0,0.0,9.809688091278076,9.887385091278077
13,1.0,66204.0,76000.0,3486052.0,1.86271,SATISFIABLE,13,0,data/test/3sat/350/3sat_11.cnf,9.809688091278076,0.0,0.0,9.809688091278076,11.672398091278076
14,2.0,1574297.0,1786117.0,79094219.0,59.9982,INDETERMINATE,14,0,data/test/3sat/350/3sat_110.cnf,9.809688091278076,0.0,0.0,9.809688091278076,69.80788809127807
15,1.0,11315.0,13547.0,621577.0,0.193669,SATISFIABLE,15,0,data/test/3sat/350/3sat_111.cnf,9.809688091278076,0.0,0.0,9.809688091278076,10.003357091278076
16,2.0,392630.0,445715.0,20855485.0,10.2155,SATISFIABLE,16,0,data/test/3sat/350/3sat_112.cnf,9.809688091278076,0.0,0.0,9.809688091278076,20.025188091278075
