,restarts,conflicts,decisions,propagations,CPU time,Result,cnf_id,sample_id,file,final GPU time,refinement CPU time,refinement GPU time,GPU time,time
0,2.0,1773773.0,2015143.0,92317385.0,59.9904,INDETERMINATE,0,0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/appendix_300350/smoke/350/3sat_0.cnf,0.34729790687561035,0.0,0.0,0.34729790687561035,60.33769790687561
1,2.0,959551.0,1102682.0,51483552.0,29.9424,SATISFIABLE,1,0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/appendix_300350/smoke/350/3sat_1.cnf,0.34729790687561035,0.0,0.0,0.34729790687561035,30.28969790687561
2,1.0,4191.0,5084.0,247196.0,0.052768,SATISFIABLE,2,0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/appendix_300350/smoke/350/3sat_10.cnf,0.34729790687561035,0.0,0.0,0.34729790687561035,0.40006590687561033
3,2.0,1579845.0,1789397.0,79570925.0,59.9895,INDETERMINATE,3,0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/appendix_300350/smoke/350/3sat_100.cnf,0.34729790687561035,0.0,0.0,0.34729790687561035,60.33679790687561
4,2.0,1114845.0,1256581.0,59824365.0,35.6704,SATISFIABLE,4,0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/appendix_300350/smoke/350/3sat_101.cnf,0.34729790687561035,0.0,0.0,0.34729790687561035,36.01769790687561
5,1.0,2611.0,3237.0,150188.0,0.044791,SATISFIABLE,5,0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/appendix_300350/smoke/350/3sat_102.cnf,0.34729790687561035,0.0,0.0,0.34729790687561035,0.3920889068756104
6,2.0,1610701.0,1810532.0,87022944.0,54.2015,SATISFIABLE,6,0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/appendix_300350/smoke/350/3sat_103.cnf,0.34729790687561035,0.0,0.0,0.34729790687561035,54.54879790687561
7,2.0,1632145.0,1845516.0,85234365.0,59.9912,INDETERMINATE,7,0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/appendix_300350/smoke/350/3sat_104.cnf,0.34729790687561035,0.0,0.0,0.34729790687561035,60.33849790687561
8,1.0,184.0,350.0,11754.0,0.007066,SATISFIABLE,8,0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/appendix_300350/smoke/350/3sat_105.cnf,0.34729790687561035,0.0,0.0,0.34729790687561035,0.35436390687561037
9,2.0,1645992.0,1869740.0,83737908.0,59.9922,INDETERMINATE,9,0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/appendix_300350/smoke/350/3sat_106.cnf,0.34729790687561035,0.0,0.0,0.34729790687561035,60.33949790687561
