first,second,first_name,second_name,first_cap,second_cap,solved,mean_time,median_time
cadical,local,CaDiCaL,+ Local Boundary Correction,5.0,55.0,57,45.184587611387485,60.0
cadical,local,CaDiCaL,+ Local Boundary Correction,10.0,50.0,62,43.7760230900767,60.0
cadical,local,CaDiCaL,+ Local Boundary Correction,15.0,45.0,62,44.1760230900767,60.0
cadical,local,CaDiCaL,+ Local Boundary Correction,20.0,40.0,66,43.367639845401264,60.0
cadical,local,CaDiCaL,+ Local Boundary Correction,25.0,35.0,66,43.592639845401266,60.0
cadical,local,CaDiCaL,+ Local Boundary Correction,30.0,30.0,69,43.13710488141307,60.0
cadical,local,CaDiCaL,+ Local Boundary Correction,35.0,25.0,69,43.33710488141307,60.0
cadical,local,CaDiCaL,+ Local Boundary Correction,40.0,20.0,73,42.9738450682332,60.0
cadical,local,CaDiCaL,+ Local Boundary Correction,45.0,15.0,73,43.01016430275445,60.0
cadical,local,CaDiCaL,+ Local Boundary Correction,50.0,10.0,76,42.86511313919842,60.0
cadical,local,CaDiCaL,+ Local Boundary Correction,55.0,5.0,77,42.89335595716983,60.0
local,cadical,+ Local Boundary Correction,CaDiCaL,5.0,55.0,77,42.50713817992295,60.0
local,cadical,+ Local Boundary Correction,CaDiCaL,10.0,50.0,76,42.93169393206914,60.0
local,cadical,+ Local Boundary Correction,CaDiCaL,15.0,45.0,73,43.24013514368075,60.0
local,cadical,+ Local Boundary Correction,CaDiCaL,20.0,40.0,73,43.572000330936326,60.0
local,cadical,+ Local Boundary Correction,CaDiCaL,25.0,35.0,69,44.08618972873017,60.0
local,cadical,+ Local Boundary Correction,CaDiCaL,30.0,30.0,69,44.52666969227075,60.0
local,cadical,+ Local Boundary Correction,CaDiCaL,35.0,25.0,66,44.77310243539105,60.0
local,cadical,+ Local Boundary Correction,CaDiCaL,40.0,20.0,66,44.98195181928422,60.0
local,cadical,+ Local Boundary Correction,CaDiCaL,45.0,15.0,62,45.21680717191972,60.0
local,cadical,+ Local Boundary Correction,CaDiCaL,50.0,10.0,62,45.416807171919714,60.0
local,cadical,+ Local Boundary Correction,CaDiCaL,55.0,5.0,57,45.57017812080063,60.0
cadical,online,CaDiCaL,Online-Consistent Selector,5.0,55.0,56,45.28444544015816,60.0
cadical,online,CaDiCaL,Online-Consistent Selector,10.0,50.0,61,43.858654079304294,60.0
cadical,online,CaDiCaL,Online-Consistent Selector,15.0,45.0,61,44.233654079304294,60.0
cadical,online,CaDiCaL,Online-Consistent Selector,20.0,40.0,65,43.405628014397664,60.0
cadical,online,CaDiCaL,Online-Consistent Selector,25.0,35.0,65,43.60562801439766,60.0
cadical,online,CaDiCaL,Online-Consistent Selector,30.0,30.0,69,43.13502914211232,60.0
cadical,online,CaDiCaL,Online-Consistent Selector,35.0,25.0,69,43.335029142112326,60.0
cadical,online,CaDiCaL,Online-Consistent Selector,40.0,20.0,73,42.97173877933505,60.0
cadical,online,CaDiCaL,Online-Consistent Selector,45.0,15.0,73,43.00916685107104,60.0
cadical,online,CaDiCaL,Online-Consistent Selector,50.0,10.0,76,42.864075206871505,60.0
cadical,online,CaDiCaL,Online-Consistent Selector,55.0,5.0,77,42.89284555939492,60.0
online,cadical,Online-Consistent Selector,CaDiCaL,5.0,55.0,77,42.53602682806433,60.0
online,cadical,Online-Consistent Selector,CaDiCaL,10.0,50.0,76,42.98267755575373,60.0
online,cadical,Online-Consistent Selector,CaDiCaL,15.0,45.0,73,43.345763436515526,60.0
online,cadical,Online-Consistent Selector,CaDiCaL,20.0,40.0,73,43.72612813037924,60.0
online,cadical,Online-Consistent Selector,CaDiCaL,25.0,35.0,69,44.28844740933517,60.0
online,cadical,Online-Consistent Selector,CaDiCaL,30.0,30.0,69,44.778184097854464,60.0
online,cadical,Online-Consistent Selector,CaDiCaL,35.0,25.0,65,45.08139299534012,60.0
online,cadical,Online-Consistent Selector,CaDiCaL,40.0,20.0,65,45.386386042829145,60.0
online,cadical,Online-Consistent Selector,CaDiCaL,45.0,15.0,61,45.62124139546464,60.0
online,cadical,Online-Consistent Selector,CaDiCaL,50.0,10.0,61,45.82124139546464,60.0
online,cadical,Online-Consistent Selector,CaDiCaL,55.0,5.0,56,45.97461234434555,60.0
