family,base_instance_id,repeats,variants,rows,plain_solved_rows,neutral_lost_rows,static_lost_rows,adapter_lost_rows,weighted_binary_input_delta_final_cpu_mean,weighted_binary_input_delta_protocol_time_mean,static_weights_delta_final_cpu_mean,static_weights_delta_protocol_time_mean,event_collection_overhead_delta_final_cpu_mean,event_collection_overhead_delta_protocol_time_mean,adapter_delta_inference_delta_final_cpu_mean,adapter_delta_inference_delta_protocol_time_mean,adapter_inference_wall_time_mean,event_overhead_mean,adapter_delta_overhead_mean,warmup_decisions_mean,warmup_conflicts_mean,event_state_nonzero_vars_mean,graph_gate_open_rows,primary_attribution_modes,primary_attribution_variant_consistency,plain_solved_variant_consistency,neutral_solved_variant_consistency,static_solved_variant_consistency,adapter_solved_variant_consistency,event_audit_role,symmetry_strength,control_type,scale,scale_key,benchmark_role,family_scale,variant_role,permutation_variant,source
complete_coloring,k10_color9,3,3,9,9,0,0,0,-0.0513088888888888,-0.0513088888888888,-0.02154000000000009,1.1038469533538817,0.0,0.00904101014622041,-0.6587622222222221,-0.6197177625613741,0.039044459660847984,0.00904101014622041,-0.6197177625613741,8.0,1.0,90.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,v10_c9,main,complete_coloring:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
complete_coloring,k8_color7,3,3,9,9,0,0,0,0.005919666666666668,0.005919666666666668,0.0025399999999999997,1.1279269533538818,0.0,0.005149894311858537,-0.01028788888888889,0.028756570771959106,0.039044459660847984,0.005149894311858537,0.028756570771959106,6.0,1.0,56.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,v8_c7,main,complete_coloring:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
complete_coloring,k9_color8,3,3,9,9,0,0,0,0.14051744444444447,0.14051744444444447,-0.006170555555555544,0.8509799726104736,0.0,0.005381741656237233,-0.2694432222222222,-0.22735079295518665,0.04209242926703559,0.005381741656237233,-0.22735079295518665,7.0,1.0,72.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,v9_c8,main,complete_coloring:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
php,php_p10_h9,3,3,9,9,0,0,0,-0.35137444444444443,-0.35137444444444443,-0.022676666666666605,0.29800101112365734,0.0,0.007641863320933319,-0.5025911111111111,-0.45440274263170033,0.048188368479410805,0.007641863320933319,-0.45440274263170033,8.0,1.0,90.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,p10_h9,main,php:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
php,php_p9_h8,3,3,9,9,0,0,0,0.11443444444444444,0.11443444444444444,-0.010204999999999983,0.31047267779032395,0.0,0.0055219349342717034,-0.22590255555555558,-0.17771418707614475,0.048188368479410805,0.0055219349342717034,-0.17771418707614475,7.0,1.0,72.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,p9_h8,main,php:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v160_c704_seed2615,3,3,9,9,0,0,0,0.017288444444444447,0.017288444444444447,-0.037974777777777774,0.37825725181918674,0.0,0.004336698326031375,0.0017148888888888862,0.055102477813720685,0.053387588924831815,0.004336698326031375,0.055102477813720685,20.0,1.0,160.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars160_clauses704,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v180_c760_seed3301,3,3,9,9,0,0,0,-0.583693,-0.583693,-0.11099422222222222,0.35301498327806263,0.0,0.004993719267613359,0.5778068888888889,0.6337940880364312,0.05598719914754232,0.004993719267613359,0.6337940880364312,25.0,1.0,180.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars180_clauses760,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v220_c928_seed3303,3,3,9,9,0,0,0,-0.3967692222222222,-0.3967692222222222,-0.3457524444444445,0.11825676105584039,0.0,0.005332365737610389,0.007783666666666667,0.06377086581420897,0.05598719914754232,0.005332365737610389,0.06377086581420897,28.0,1.0,220.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars220_clauses928,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v220_c942_seed3304,3,3,9,9,0,0,0,0.09912633333333334,0.09912633333333334,-0.3347604444444444,0.3848113843977186,0.0,0.005379981739521083,0.20247,0.2673826370747883,0.0649126370747884,0.005379981739521083,0.2673826370747883,24.0,1.0,220.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars220_clauses942,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v260_c1097_seed3305,3,3,9,9,0,0,0,-3.328095333333333,-3.328095333333333,-1.339418,-0.6198461711578369,0.0,0.006792310567537917,-0.1862704444444445,-0.12135780736965601,0.0649126370747884,0.006792310567537917,-0.12135780736965601,35.0,1.0,260.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars260_clauses1097,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v260_c1113_seed3306,3,3,9,9,0,0,0,0.8096733333333335,0.8096733333333335,-0.5082266666666667,0.05644061119927299,0.0,0.007020609792795519,0.47299111111111103,0.5319006597646075,0.05890954865349664,0.007020609792795519,0.5319006597646075,33.0,1.0,260.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars260_clauses1113,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v300_c1266_seed3307,3,3,9,9,0,0,0,0.37780133333333343,0.37780133333333343,-1.5908603333333333,-1.3360021574198404,0.0,0.007558578008996123,0.025756,0.07265937181091307,0.046903371810913086,0.007558578008996123,0.07265937181091307,46.0,1.0,300.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars300_clauses1266,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
subset_cardinality,subset_cardinality_bw10,3,3,9,9,0,0,0,0.0003808888888888889,0.0003808888888888889,-0.0011804444444444445,0.2536777314690484,0.0,0.0021794879097806075,0.0018214444444444445,0.04872481625535753,0.046903371810913086,0.0021794879097806075,0.04872481625535753,6.0,1.0,41.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,weak,weak_symmetry,large,size10,main,subset_cardinality:large,"base,permutation_variant","False,True",SAT-b-inspired symmetry stress set; EchoSAT runtime v1.2 canonical DIMACS order
subset_cardinality,subset_cardinality_bw12,3,3,9,9,0,0,0,0.00029633333333333334,0.00029633333333333334,-0.000591,0.1823210847913954,0.0,0.0023813220908906704,0.0004127777777777778,0.034300508482191294,0.03388773070441352,0.0023813220908906704,0.034300508482191294,7.666666666666667,1.0,49.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,weak,weak_symmetry,large,size12,main,subset_cardinality:large,"base,permutation_variant","False,True",SAT-b-inspired symmetry stress set; EchoSAT runtime v1.2 canonical DIMACS order
subset_cardinality,subset_cardinality_bw8,3,3,9,9,0,0,0,-0.00018355555555555557,-0.00018355555555555557,0.000308,0.1472470392303467,0.0,0.0022149238214360318,-0.0003003333333333334,0.027079576817830395,0.027379910151163738,0.0022149238214360318,0.027079576817830395,9.333333333333334,1.0,33.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,weak,weak_symmetry,medium,size8,main,subset_cardinality:medium,"base,permutation_variant","False,True",SAT-b-inspired symmetry stress set; EchoSAT runtime v1.2 canonical DIMACS order
