warmup_conflicts,source_csv,repeat_id,base_instance_id,variant,instance_id,family,control_type,scale,benchmark_role,symmetry_strength,num_vars,num_clauses,final_cpu_lim,warmup_cpu_lim,checkpoint,plain_unguided_glucose_final_cpu_time,plain_unguided_glucose_protocol_accounted_time,plain_unguided_glucose_final_decisions,plain_unguided_glucose_final_conflicts,plain_unguided_glucose_final_solved,neutral_weighted_glucose_final_cpu_time,neutral_weighted_glucose_protocol_accounted_time,neutral_weighted_glucose_final_decisions,neutral_weighted_glucose_final_conflicts,neutral_weighted_glucose_final_solved,static_weighted_glucose_final_cpu_time,static_weighted_glucose_protocol_accounted_time,static_weighted_glucose_final_decisions,static_weighted_glucose_final_conflicts,static_weighted_glucose_final_solved,cached_trace_no_adapter_final_final_cpu_time,cached_trace_no_adapter_final_protocol_accounted_time,cached_trace_no_adapter_final_final_decisions,cached_trace_no_adapter_final_final_conflicts,cached_trace_no_adapter_final_final_solved,event_adapter_final_final_cpu_time,event_adapter_final_protocol_accounted_time,event_adapter_final_final_decisions,event_adapter_final_final_conflicts,event_adapter_final_final_solved,known_expected_result,event_adapter_final_known_expected_match,warmup_cpu_time,warmup_conflict_count,warmup_decisions,event_state_l2_sum,event_state_nonzero_vars,event_adapter_graph_gate_evidence,event_adapter_graph_gate_open,adapter_inference_wall_time,adapter_cached_final_cpu_delta,adapter_cached_protocol_delta,adapter_plain_final_cpu_delta,adapter_plain_protocol_delta,adapter_cached_decisions_delta,adapter_cached_conflicts_delta,neutral_plain_final_cpu_delta,static_neutral_final_cpu_delta,adapter_cached_final_cpu_improved,adapter_plain_final_cpu_improved,adapter_plain_protocol_improved
1,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,k10_color9,base,k10_color9,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,4.64098,4.64098,340861.0,314066.0,True,4.42169,4.42169,322229.0,299168.0,True,4.46196,5.421944064102173,321840.0,298649.0,True,4.46196,5.431241925308824,321840.0,298649.0,True,2.90945,3.88595886927855,217726.0,202143.0,True,True,True,0.006947,1.0,8.0,136.93209838867188,90,0.6931471824645996,True,0.0072269439697265,-1.5525100000000003,-1.5452830560302742,-1.7315299999999998,-0.7550211307214498,-104114.0,-96506.0,-0.21928999999999998,0.04027000000000047,True,True,True
1,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,k10_color9,perm_seed1730,k10_color9_perm1730,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,5.69156,5.69156,413643.0,382655.0,True,4.41577,4.41577,283792.0,262594.0,True,4.77998,5.739964064102173,247778.0,229737.0,True,4.77998,5.750057701042354,247778.0,229737.0,True,4.42927,5.40657464501208,298490.0,278650.0,True,True,True,0.008881,1.0,8.0,136.98228454589844,90,0.6931471824645996,True,0.0072269439697265,-0.3507100000000003,-0.34348305603027374,-1.2622900000000001,-0.28498535498791977,50712.0,48913.0,-1.2757899999999998,0.3642099999999999,True,True,True
1,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,k10_color9,perm_seed1731,k10_color9_perm1731,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,4.09025,4.09025,340033.0,312592.0,True,4.1533,4.1533,290369.0,269757.0,True,4.41274,5.372724064102173,290369.0,269757.0,True,4.41274,5.379200824754238,290369.0,269757.0,True,4.79145,5.765137768723965,356144.0,332389.0,True,True,True,0.00559,1.0,8.0,137.00555419921875,90,0.6931471824645996,True,0.0072269439697265,0.3787099999999999,0.38593694396972644,0.7012,1.6748877687239645,65775.0,62632.0,0.0630499999999996,0.25944000000000056,False,False,False
1,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,k8_color7,base,k8_color7,complete_coloring,strong_symmetry,large,main,strong,56,372,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,0.054897,0.054897,6158.0,5600.0,True,0.045556,0.045556,5946.0,5440.0,True,0.038925,0.9989090641021728,5946.0,5440.0,True,0.038925,1.0046257400199772,5946.0,5440.0,True,0.041934,1.0148616839897036,6019.0,5507.0,True,True,True,0.004675,1.0,6.0,84.73548889160156,56,0.6931471824645996,True,0.0072269439697265,0.003008999999999998,0.01023594396972638,-0.012963000000000002,0.9599646839897036,73.0,67.0,-0.009341000000000002,-0.006630999999999998,False,True,False
1,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,k8_color7,perm_seed1730,k8_color7_perm1730,complete_coloring,strong_symmetry,large,main,strong,56,372,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,0.055685,0.055685,6138.0,5624.0,True,0.04649,0.04649,6264.0,5696.0,True,0.042852,1.0028360641021727,6264.0,5696.0,True,0.042852,1.0073681919261217,6264.0,5696.0,True,0.041789,1.0135321358958482,5544.0,5098.0,True,True,True,0.003737,1.0,6.0,84.79159545898438,56,0.6931471824645996,True,0.0072269439697265,-0.0010630000000000014,0.006163943969726526,-0.013895999999999999,0.9578471358958482,-720.0,-598.0,-0.009195000000000002,-0.0036379999999999954,True,True,False
1,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,k8_color7,perm_seed1731,k8_color7_perm1731,complete_coloring,strong_symmetry,large,main,strong,56,372,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,0.042678,0.042678,5800.0,5271.0,True,0.055313,0.055313,6148.0,5641.0,True,0.053896,1.0138800641021728,6148.0,5641.0,True,0.053896,1.0192695689691305,6148.0,5641.0,True,0.039165,1.011765512938857,6122.0,5622.0,True,True,True,0.004521,1.0,6.0,84.7841796875,56,0.6931471824645996,True,0.0072269439697265,-0.014731000000000001,-0.007504056030273487,-0.0035130000000000022,0.969087512938857,-26.0,-19.0,0.012635,-0.0014170000000000016,True,True,False
1,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,k9_color8,base,k9_color8,complete_coloring,strong_symmetry,large,main,strong,72,549,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,0.67774,0.67774,46557.0,43529.0,True,0.850391,0.850391,44352.0,41138.0,True,0.643351,1.6033350641021729,43519.0,40436.0,True,0.643351,1.6082608315988778,43519.0,40436.0,True,0.534165,1.5063017755686046,39397.0,36642.0,True,True,True,0.004088,1.0,7.0,109.32144165039062,72,0.6931471824645996,True,0.0072269439697265,-0.109186,-0.10195905603027322,-0.143575,0.8285617755686046,-4122.0,-3794.0,0.172651,-0.20704,True,True,False
1,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,k9_color8,perm_seed1730,k9_color8_perm1730,complete_coloring,strong_symmetry,large,main,strong,72,549,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,0.442978,0.442978,39708.0,36681.0,True,0.728446,0.728446,45794.0,42555.0,True,0.968441,1.9284250641021727,45794.0,42555.0,True,0.968441,1.9333277329363825,45794.0,42555.0,True,0.476084,1.448197676906109,44234.0,40845.0,True,True,True,0.004088,1.0,7.0,109.58531951904295,72,0.6931471824645996,True,0.0072269439697265,-0.492357,-0.4851300560302736,0.033106000000000024,1.0052196769061088,-1560.0,-1710.0,0.28546800000000006,0.23999499999999996,True,False,False
1,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,k9_color8,perm_seed1731,k9_color8_perm1731,complete_coloring,strong_symmetry,large,main,strong,72,549,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,0.589231,0.589231,47177.0,43763.0,True,0.688938,0.688938,47579.0,44103.0,True,0.751735,0.8398685735321045,47579.0,44103.0,True,0.751735,0.8469443317381145,47579.0,44103.0,True,0.393493,0.4935465204282999,36801.0,34234.0,True,True,True,0.006021,1.0,7.0,109.56788635253906,72,0.6931471824645996,True,0.0048441886901855,-0.35824200000000006,-0.35339781130981457,-0.19573799999999997,-0.09568447957170007,-10778.0,-9869.0,0.0997070000000001,0.06279699999999999,True,True,True
1,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,php_p10_h9,base,php_p10_h9,php,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,4.24097,4.24097,340861.0,314066.0,True,4.40221,4.40221,322229.0,299168.0,True,4.15378,4.241913573532105,321840.0,298649.0,True,4.15378,4.24653917708236,321840.0,298649.0,True,2.90265,3.0002533657725454,217726.0,202143.0,True,True,True,0.003823,1.0,8.0,136.93209838867188,90,0.6931471824645996,True,0.0048441886901855,-1.2511300000000003,-1.2462858113098143,-1.33832,-1.2407166342274545,-104114.0,-96506.0,0.16124000000000027,-0.24842999999999993,True,True,True
