family,method,rows,families,solved_instances,known_expected_instances,known_expected_match_instances,protocol_supported_instances,events_available_instances,mean_protocol_accounted_time,median_protocol_accounted_time,mean_protocol_wall_time,mean_final_cpu_time,median_final_cpu_time,mean_final_wall_time,mean_final_decisions,mean_final_conflicts,mean_static_inference_wall_time,mean_warmup_cpu_time,mean_warmup_wall_time,mean_event_attach_wall_time,mean_adapter_inference_wall_time,mean_event_state_nonzero_vars,mean_event_state_l2_sum
complete_coloring,plain_unguided_glucose,27,1,27,27,27,27,0,1.7031807037037037,0.570285,1.7096944335434172,1.7031807037037037,0.570285,1.7096944335434172,138452.77777777778,127753.44444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complete_coloring,neutral_weighted_glucose,27,1,27,27,27,27,0,1.7033364074074073,0.713023,1.7123567788620238,1.7033364074074073,0.713023,1.7123567788620238,116941.44444444444,108454.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complete_coloring,static_weighted_glucose,27,1,27,27,27,27,0,2.237551895473339,1.0769918373565672,2.247321011050156,1.667083037037037,0.733793,1.676852152613854,112804.11111111111,104668.22222222222,0.5704688584363019,0.0,0.0,0.0,0.0,0.0,0.0
complete_coloring,cached_trace_no_adapter_final,27,1,27,27,27,27,27,2.2439000865503593,1.0833022895422577,2.257279569041674,1.667083037037037,0.733793,1.676852152613854,112804.11111111111,104668.22222222222,0.5704688584363019,0.005071592592592593,0.008681959507090074,0.0012765984844278406,0.0,72.66666666666667,110.41176096598308
complete_coloring,event_adapter_final,27,1,27,27,27,27,27,2.131812693824733,1.0148616839897036,2.1425268662472567,1.513212814814815,0.476035,1.520316620322841,112275.22222222222,104570.0,0.5704688584363019,0.005071592592592593,0.008681959507090074,0.0012765984844278406,0.04178282949659559,72.66666666666667,110.41176096598308
php,plain_unguided_glucose,18,1,18,18,18,18,0,2.4838674444444444,2.3565375000000004,2.4935948352536395,2.4838674444444444,2.3565375000000004,2.4935948352536395,204663.16666666666,188881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
php,neutral_weighted_glucose,18,1,18,18,18,18,0,2.7018123333333333,2.5350805000000003,2.7137472125080726,2.7018123333333333,2.5350805000000003,2.7137472125080726,172352.5,159885.83333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
php,static_weighted_glucose,18,1,18,18,18,18,0,2.6163555347239176,2.4915938023376465,2.624412754240135,2.417237,2.2368145,2.4252942195162177,166146.5,154206.16666666666,0.19911853472391763,0.0,0.0,0.0,0.0,0.0,0.0
php,cached_trace_no_adapter_final,18,1,18,18,18,18,18,2.6215136338709595,2.4955233746117056,2.634532029274851,2.417237,2.2368145,2.4252942195162177,166146.5,154206.16666666666,0.19911853472391763,0.004036833333333333,0.008998009221007427,0.0011212658137083054,0.0,81.0,123.23243077596028
php,event_adapter_final,18,1,18,18,18,18,18,2.507952885974977,1.9351182906139792,2.5212612530837455,2.2532387222222225,1.721038,2.261585913443317,165368.33333333334,154022.0,0.19911853472391763,0.004036833333333333,0.008998009221007427,0.0011212658137083054,0.05043752988179525,81.0,123.23243077596028
