method,family,control_type,scale,benchmark_role,solver_path_role,rows,base_instances,solved_rows,unsolved_rows,indeterminate_rows,known_expected_rows,unknown_expected_rows,known_expected_match_rows,known_expected_wrong_rows,mean_final_cpu_time,median_final_cpu_time,mean_protocol_accounted_time,median_protocol_accounted_time
cached_trace_no_adapter_final,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.667083037037037,0.733793,2.2439000865503593,1.0833022895422577
cached_trace_no_adapter_final,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,2.417237,2.2368145,2.6215136338709595,2.4955233746117056
cached_trace_no_adapter_final,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,1.1232504603174605,0.050203,1.316333515223263,0.3046779204306602
cached_trace_no_adapter_final,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.0020026666666666665,0.0020295,0.16900131697812676,0.13476171675351262
cached_trace_no_adapter_final,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0014026666666666666,0.001479,0.10447264942838748,0.044784827376306055
event_adapter_final,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.513212814814815,0.476035,2.131812693824733,1.0148616839897036
event_adapter_final,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,2.2532387222222225,1.721038,2.507952885974977,1.9351182906139792
event_adapter_final,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,1.356845619047619,0.611384,1.6084318362466286,0.884478918473959
event_adapter_final,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.0019735555555555557,0.0020295,0.19233902800378866,0.18631402601543068
event_adapter_final,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0007643333333333333,0.001098,0.13497575616870325,0.07347342892354727
neutral_weighted_glucose,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.7033364074074073,0.713023,1.7033364074074073,0.713023
neutral_weighted_glucose,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,2.7018123333333333,2.5350805000000003,2.7018123333333333,2.5350805000000003
