warmup_conflicts,family,base_instance_id,observations,base_instances,variants,repeats,final_cpu_lim,warmup_cpu_lim,event_adapter_solved_rows,known_expected_rows,known_expected_match_rows,warmup_cpu_mean,warmup_cpu_median,warmup_conflict_count_mean,event_state_l2_sum_mean,event_state_nonzero_vars_mean,graph_gate_open_fraction,adapter_cached_final_cpu_delta_mean,adapter_cached_final_cpu_delta_median,adapter_cached_protocol_delta_mean,adapter_plain_final_cpu_delta_mean,adapter_plain_final_cpu_delta_median,adapter_plain_protocol_delta_mean,adapter_plain_protocol_delta_median,adapter_cached_decisions_delta_mean,adapter_cached_conflicts_delta_mean,neutral_plain_final_cpu_delta_mean,static_neutral_final_cpu_delta_mean,adapter_cached_final_cpu_improved_fraction,adapter_plain_final_cpu_improved_fraction,adapter_plain_protocol_improved_fraction
1,complete_coloring,k10_color9,9,1,3,3,10.0,5.0,9,9,9,0.0069002222222222225,0.007463,1.0,136.9733123779297,90.0,1.0,-0.18443777777777756,0.09314,-0.15064043420579662,-0.9218366666666663,-0.93214,-0.07157051328535162,-0.1389933796194196,-19274.0,-15695.666666666666,-0.537401111111111,-0.19999777777777789,0.4444444444444444,1.0,0.5555555555555556
1,complete_coloring,k8_color7,9,1,3,3,10.0,5.0,9,9,9,0.0037818888888888885,0.003964,1.0,84.77042134602864,56.0,1.0,-0.006191333333333335,-0.0026580000000000006,0.027606010238647467,-0.005831555555555554,-0.0027280000000000013,0.8420751628334191,0.6458078943510652,-140.0,-110.0,0.0011755555555555573,-0.0008157777777777764,0.7777777777777778,0.5555555555555556,0.0
1,complete_coloring,k9_color8,9,1,3,3,10.0,5.0,9,9,9,0.004924222222222222,0.004469,1.0,109.49154917399089,72.0,1.0,-0.14853466666666668,-0.14947399999999994,-0.11576835099453403,-0.10433955555555559,-0.10518200000000011,0.5532167721413374,0.5292749201260804,-1917.6666666666667,-1785.0,0.057044999999999985,-0.012849888888888883,1.0,0.7777777777777778,0.1111111111111111
1,php,php_p10_h9,9,1,3,3,10.0,5.0,9,9,9,0.008108777777777777,0.007745,1.0,136.9733123779297,90.0,1.0,-0.3622844444444444,0.07599,-0.331580184572008,-1.1247155555555555,-1.2180399999999998,-0.8447637695981461,-0.9786774605825546,-29556.666666666668,-25850.333333333332,-0.5648944444444444,-0.19753666666666664,0.4444444444444444,0.8888888888888888,0.7777777777777778
1,php,php_p9_h8,9,1,3,3,10.0,5.0,9,9,9,0.005805555555555555,0.005089,1.0,109.49154917399089,72.0,1.0,-0.08458677777777776,-0.11348999999999998,-0.053882517905341216,-0.10700455555555553,-0.099574,0.1706072478428086,0.05008383596432209,-1917.6666666666667,-1785.0,0.025503888888888895,-0.047921666666666654,0.7777777777777778,0.8888888888888888,0.3333333333333333
1,random_3sat_control,random_3sat_control_v160_c704_seed2615,9,1,3,3,10.0,5.0,9,0,0,0.0035912222222222226,0.003555,1.0,250.46484883626303,160.0,1.0,0.002061666666666666,0.0016339999999999966,0.03171635497199162,-0.022240444444444445,-0.015531000000000003,0.34135400618057776,0.20951499543422458,672.6666666666666,494.3333333333333,0.0033368888888888892,-0.027639,0.3333333333333333,0.8888888888888888,0.0
1,random_3sat_control,random_3sat_control_v180_c760_seed3301,9,1,3,3,10.0,5.0,9,0,0,0.004483888888888889,0.004595,1.0,291.29674275716144,180.0,1.0,0.5872858888888888,0.615757,0.6164157914106582,-0.08949655555555555,0.055927000000000004,0.31903162516571415,0.4009709209380745,40412.0,35797.333333333336,-0.5685282222222222,-0.10825422222222222,0.0,0.3333333333333333,0.2222222222222222
1,random_3sat_control,random_3sat_control_v220_c928_seed3303,9,1,3,3,10.0,5.0,9,0,0,0.005116444444444444,0.005159,1.0,331.58192952473956,220.0,1.0,0.0028603333333333332,0.002385,0.03199023585510255,-0.7311618888888889,-0.713682,-0.3219348718331523,-0.46015890547364946,277.3333333333333,233.33333333333334,-0.3892768888888889,-0.3447453333333333,0.4444444444444444,1.0,0.5555555555555556
1,random_3sat_control,random_3sat_control_v220_c942_seed3304,9,1,3,3,10.0,5.0,9,0,0,0.005821666666666666,0.006199,1.0,323.7030029296875,220.0,1.0,0.18769733333333333,0.19874499999999995,0.24477950954182948,-0.127999,-0.09465699999999999,0.6387745871826279,0.36098617272806166,13873.0,12218.0,0.05135911111111113,-0.36705544444444443,0.0,1.0,0.0
1,random_3sat_control,random_3sat_control_v260_c1097_seed3305,9,1,3,3,10.0,5.0,9,0,0,0.006523666666666667,0.006243,1.0,390.126953125,260.0,1.0,0.6393210000000001,0.5745,0.696403176208496,-3.8539488888888886,-4.51704,-3.086469606218285,-3.5840099228022098,34077.333333333336,29953.333333333332,-3.066663777777778,-1.4266061111111112,0.0,1.0,1.0
