method,family,control_type,scale,benchmark_role,solver_path_role,rows,base_instances,solved_rows,unsolved_rows,indeterminate_rows,known_expected_rows,unknown_expected_rows,known_expected_match_rows,known_expected_wrong_rows,mean_final_cpu_time,median_final_cpu_time,mean_protocol_accounted_time,median_protocol_accounted_time
cached_trace_no_adapter_final,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.4691045555555553,0.672517,2.2208939544392514,1.5297092797025442
cached_trace_no_adapter_final,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,2.155476,1.8126335,2.40355353480545,2.1321936183198096
cached_trace_no_adapter_final,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,1.0329868730158729,0.04905,1.559310941217763,0.7670178921268582
cached_trace_no_adapter_final,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.001393888888888889,0.001394,0.3769796903251509,0.2531853526505828
cached_trace_no_adapter_final,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0015223333333333332,0.001242,0.09292615947773059,0.049495719543159004
event_adapter_final,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.356049962962963,0.464062,2.141293029452024,1.5333349286835194
event_adapter_final,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,1.9320403888888888,1.462878,2.2108221835667754,1.822498349324852
event_adapter_final,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,1.3539555714285714,0.510655,1.91921618271668,0.9188939439742565
event_adapter_final,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.0023300555555555557,0.0019145,0.4010203922006256,0.31871032938677074
event_adapter_final,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0015022222222222223,0.00125,0.11358639644502931,0.07109850833958388
neutral_weighted_glucose,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.5403257037037037,0.642575,1.5403257037037037,0.642575
neutral_weighted_glucose,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,2.278205166666667,1.9046455,2.278205166666667,1.9046455
neutral_weighted_glucose,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,1.6370336825396825,0.533431,1.6370336825396825,0.533431
neutral_weighted_glucose,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.0023418888888888886,0.0024200000000000003,0.0023418888888888886,0.0024200000000000003
neutral_weighted_glucose,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0015014444444444446,0.001563,0.0015014444444444446,0.001563
plain_unguided_glucose,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.7000525555555555,0.605055,1.7000525555555555,0.605055
