family,base_instance_id,repeats,variants,rows,plain_solved_rows,neutral_lost_rows,static_lost_rows,adapter_lost_rows,weighted_binary_input_delta_final_cpu_mean,weighted_binary_input_delta_protocol_time_mean,static_weights_delta_final_cpu_mean,static_weights_delta_protocol_time_mean,event_collection_overhead_delta_final_cpu_mean,event_collection_overhead_delta_protocol_time_mean,adapter_delta_inference_delta_final_cpu_mean,adapter_delta_inference_delta_protocol_time_mean,adapter_inference_wall_time_mean,event_overhead_mean,adapter_delta_overhead_mean,warmup_decisions_mean,warmup_conflicts_mean,event_state_nonzero_vars_mean,graph_gate_open_rows,primary_attribution_modes,primary_attribution_variant_consistency,plain_solved_variant_consistency,neutral_solved_variant_consistency,static_solved_variant_consistency,adapter_solved_variant_consistency,event_audit_role,symmetry_strength,control_type,scale,scale_key,benchmark_role,family_scale,variant_role,permutation_variant,source
complete_coloring,k10_color9,3,3,9,9,0,0,0,-0.29893222222222227,-0.29893222222222227,-0.1325855555555555,-0.03424512370639373,0.0,0.010461973147352508,0.40285444444444446,0.4065798936886258,0.003725449244181315,0.010461973147352508,0.4065798936886258,9.0,3.0,90.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,v10_c9,main,complete_coloring:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
complete_coloring,k8_color7,3,3,9,9,0,0,0,0.004378111111111113,0.004378111111111113,0.0012162222222222212,0.09955665407138399,0.0,0.0056818389389316215,-0.013958777777777777,-0.010233328533596462,0.003725449244181315,0.0056818389389316215,-0.010233328533596462,7.0,3.0,56.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,v8_c7,main,complete_coloring:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
complete_coloring,k9_color8,3,3,9,9,0,0,0,0.04756644444444444,0.04756644444444444,-0.0082922222222222,0.09063554055107965,0.0,0.007041288273228548,-0.14535177777777777,-0.14201275206841363,0.0033390257093641493,0.007041288273228548,-0.14201275206841363,8.666666666666666,3.0,72.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,v9_c8,main,complete_coloring:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
php,php_p10_h9,3,3,9,9,0,0,0,-0.3313900000000001,-0.3313900000000001,-0.07870111111111111,0.02140131351047092,0.0,0.009399660239815767,0.41661444444444445,0.4191806230841743,0.002566178639729818,0.009399660239815767,0.4191806230841743,9.0,3.0,90.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,p10_h9,main,php:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
php,php_p9_h8,3,3,9,9,0,0,0,0.03844444444444447,0.03844444444444447,-0.013380222222222238,0.0867222023993598,0.0,0.009153803999218687,-0.13219055555555556,-0.12962437691582576,0.002566178639729818,0.009153803999218687,-0.12962437691582576,8.666666666666666,3.0,72.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,p9_h8,main,php:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v160_c704_seed2615,3,3,9,9,0,0,0,0.004700000000000002,0.004700000000000002,-0.02403377777777778,0.10861982948472765,0.0,0.004884201676295863,0.008675111111111113,0.012317405253092446,0.0036422941419813368,0.004884201676295863,0.012317405253092446,22.0,3.0,160.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars160_clauses704,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v180_c760_seed3301,3,3,9,9,0,0,0,-0.4334601111111111,-0.4334601111111111,-0.08872544444444444,0.06020375413852267,0.0,0.006728684787286653,0.15190122222222222,0.1560815741153293,0.004180351893107097,0.006728684787286653,0.1560815741153293,28.0,3.0,180.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars180_clauses760,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v220_c928_seed3303,3,3,9,9,0,0,0,-0.3073035555555556,-0.3073035555555556,-0.25915955555555553,-0.11023035697258844,0.0,0.0054352622965375625,0.004609777777777778,0.008790129670884871,0.004180351893107097,0.0054352622965375625,0.008790129670884871,39.0,3.0,220.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars220_clauses928,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v220_c942_seed3304,3,3,9,9,0,0,0,0.08969422222222222,0.08969422222222222,-0.28194177777777774,-0.09979403646002874,0.0,0.00729977715121374,0.21165555555555557,0.21549377678765191,0.003838221232096354,0.00729977715121374,0.21549377678765191,26.0,3.0,220.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars220_clauses942,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v260_c1097_seed3305,3,3,9,9,0,0,0,-2.475852888888889,-2.475852888888889,-1.1540005555555557,-0.9718528142378067,0.0,0.0070363469687236835,-0.4578416666666667,-0.4540034454345704,0.003838221232096354,0.0070363469687236835,-0.4540034454345704,35.0,3.0,260.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars260_clauses1097,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
