family,method,rows,families,solved_instances,known_expected_instances,known_expected_match_instances,protocol_supported_instances,events_available_instances,mean_protocol_accounted_time,median_protocol_accounted_time,mean_protocol_wall_time,mean_final_cpu_time,median_final_cpu_time,mean_final_wall_time,mean_final_decisions,mean_final_conflicts,mean_static_inference_wall_time,mean_warmup_cpu_time,mean_warmup_wall_time,mean_event_attach_wall_time,mean_adapter_inference_wall_time,mean_event_state_nonzero_vars,mean_event_state_l2_sum
complete_coloring,plain_unguided_glucose,27,1,27,27,27,27,0,1.3344194444444444,0.489722,1.340892521871461,1.3344194444444444,0.489722,1.340892521871461,138452.77777777778,127753.44444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complete_coloring,neutral_weighted_glucose,27,1,27,27,27,27,0,1.252090222222222,0.512283,1.2610887845426246,1.252090222222222,0.512283,1.2610887845426246,116941.44444444444,108454.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complete_coloring,static_weighted_glucose,27,1,27,27,27,27,0,1.3040725791942454,0.6090740184936524,1.3126439007206097,1.2055363703703703,0.519612,1.2141076918967344,112804.11111111111,104668.22222222222,0.09853620882387515,0.0,0.0,0.0,0.0,0.0,0.0
complete_coloring,cached_trace_no_adapter_final,27,1,27,27,27,27,27,1.3118009459807498,0.614566029942274,1.3276840820218678,1.2055363703703703,0.519612,1.2141076918967344,112804.11111111111,104668.22222222222,0.09853620882387515,0.0066984814814814815,0.014010295996235477,0.0010298853050227518,0.0,72.66666666666667,159.2198944091797
complete_coloring,event_adapter_final,27,1,27,27,27,27,27,1.3965788836762882,0.4633099548686147,1.40939979099979,1.2867176666666666,0.364729,1.2922267594754144,142163.88888888888,132793.77777777778,0.09853620882387515,0.0066984814814814815,0.014010295996235477,0.0010298853050227518,0.0035966413992422597,72.66666666666667,159.2198944091797
php,plain_unguided_glucose,18,1,18,18,18,18,0,1.9783658333333334,1.8604135,1.9850413380708132,1.9783658333333334,1.8604135,1.9850413380708132,204663.16666666666,188881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
php,neutral_weighted_glucose,18,1,18,18,18,18,0,1.8318930555555555,1.7725735,1.8415743844687111,1.8318930555555555,1.7725735,1.8415743844687111,172352.5,159885.83333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
php,static_weighted_glucose,18,1,18,18,18,18,0,1.8859548135104707,1.8416320467605591,1.8945741792105966,1.7858523888888886,1.7362644999999999,1.7944717545890145,166146.5,154206.16666666666,0.10010242462158203,0.0,0.0,0.0,0.0,0.0,0.0
php,cached_trace_no_adapter_final,18,1,18,18,18,18,18,1.895231545629988,1.8521571136389672,1.9096168883455296,1.7858523888888886,1.7362644999999999,1.7944717545890145,166146.5,154206.16666666666,0.10010242462158203,0.008489944444444446,0.014255921459860273,0.0007867876750727495,0.0,81.0,176.2218805948893
php,event_adapter_final,18,1,18,18,18,18,18,2.0400096687141622,1.8290538522063196,2.055683622136712,1.9280643333333332,1.686329,1.9379723097404673,210408.5,196582.0,0.10010242462158203,0.008489944444444446,0.014255921459860273,0.0007867876750727495,0.002566178639729818,81.0,176.2218805948893
random_3sat_control,plain_unguided_glucose,63,1,63,0,0,63,0,1.6622627142857143,0.565228,1.6703967879718495,1.6622627142857143,0.565228,1.6703967879718495,73455.95238095238,63861.57142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_3sat_control,neutral_weighted_glucose,63,1,63,0,0,63,0,1.3521673174603175,0.483525,1.3626152025831362,1.3521673174603175,0.483525,1.3626152025831362,58671.09523809524,50970.09523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_3sat_control,static_weighted_glucose,63,1,63,0,0,63,0,1.0134149774160233,0.17487297528076173,1.0218577047750828,0.8638200952380952,0.038707,0.8722628225971546,43655.95238095238,39373.71428571428,0.14959488217792813,0.0,0.0,0.0,0.0,0.0,0.0
random_3sat_control,cached_trace_no_adapter_final,63,1,63,0,0,63,63,1.0199554617559656,0.17882394303584098,1.0356290409607547,0.8638200952380952,0.038707,0.8722628225971546,43655.95238095238,39373.71428571428,0.14959488217792813,0.005628444444444445,0.012859296290174363,0.0009120398954976173,0.0,228.57142857142858,466.8184073311942
random_3sat_control,event_adapter_final,63,1,63,0,0,63,63,1.1030212346242885,0.3215626256196499,1.1195259094681769,0.9431803968253968,0.161771,0.9524542198235554,54782.857142857145,48332.95238095238,0.14959488217792813,0.005628444444444445,0.012859296290174363,0.0009120398954976173,0.0037054712810213604,228.57142857142858,466.8184073311942
subset_cardinality,plain_unguided_glucose,27,1,27,27,27,27,0,0.0019247037037037036,0.001346,0.004231793012607981,0.0019247037037037036,0.001346,0.004231793012607981,242.0,181.77777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subset_cardinality,neutral_weighted_glucose,27,1,27,27,27,27,0,0.0028184814814814813,0.002308,0.004985225973305879,0.0028184814814814813,0.002308,0.004985225973305879,263.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subset_cardinality,static_weighted_glucose,27,1,27,27,27,27,0,0.0640737190568712,0.042598477416992186,0.0665262457397249,0.0019356296296296298,0.001451,0.004388156312483328,208.44444444444446,169.55555555555554,0.062138089427241576,0.0,0.0,0.0,0.0,0.0,0.0
subset_cardinality,cached_trace_no_adapter_final,27,1,27,27,27,27,27,0.06630295982326623,0.04431035602635145,0.07076116975534845,0.0019356296296296298,0.001451,0.004388156312483328,208.44444444444446,169.55555555555554,0.062138089427241576,0.0014891851851851852,0.0034948684344137154,0.0007400555812098362,0.0,41.0,91.9214333428277
subset_cardinality,event_adapter_final,27,1,27,27,27,27,27,0.06867198486632992,0.0452657900249362,0.07320102711242658,0.0019817777777777776,0.001819,0.0045051367746459115,224.77777777777777,174.88888888888889,0.062138089427241576,0.0014891851851851852,0.0034948684344137154,0.0007400555812098362,0.0023228768949155455,41.0,91.9214333428277
__overall__,plain_unguided_glucose,135,4,135,72,72,135,0,1.3067735407407406,0.493825,1.3132155424397853,1.3067735407407406,0.493825,1.3132155424397853,89306.82222222222,80573.24444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__overall__,neutral_weighted_glucose,135,4,135,72,72,135,0,1.1262455629629629,0.483525,1.1346451479044777,1.1262455629629629,0.483525,1.1346451479044777,73801.06666666667,66834.88888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__overall__,static_weighted_glucose,135,4,135,72,72,135,0,0.9980168909124304,0.17487297528076173,1.0053108487485183,0.8827240962962963,0.04462,0.8900180541323843,65128.15555555555,59902.77777777778,0.11529279461613408,0.0,0.0,0.0,0.0,0.0,0.0
__overall__,cached_trace_no_adapter_final,135,4,135,72,72,135,135,1.004297536064252,0.17882394303584098,1.0175981879165328,0.8827240962962963,0.04462,0.8900180541323843,65128.15555555555,59902.77777777778,0.11529279461613408,0.005396133333333333,0.01140282734952591,0.000884511818488439,0.0,140.2,291.57310638427737
__overall__,event_adapter_final,135,4,135,72,72,135,135,1.0797947056950798,0.3215626256196499,1.093056737659154,0.9549659851851853,0.161771,0.9622213231330669,82097.53333333334,75360.04444444444,0.11529279461613408,0.005396133333333333,0.01140282734952591,0.000884511818488439,0.003255280741938838,140.2,291.57310638427737
