warmup_conflicts,checkpoint_order,source_csv,repeat_id,base_instance_id,variant,instance_id,family,control_type,scale,benchmark_role,symmetry_strength,num_vars,num_clauses,final_cpu_lim,warmup_cpu_lim,checkpoint,plain_unguided_glucose_final_cpu_time,plain_unguided_glucose_protocol_accounted_time,plain_unguided_glucose_final_decisions,plain_unguided_glucose_final_conflicts,plain_unguided_glucose_final_solved,neutral_weighted_glucose_final_cpu_time,neutral_weighted_glucose_protocol_accounted_time,neutral_weighted_glucose_final_decisions,neutral_weighted_glucose_final_conflicts,neutral_weighted_glucose_final_solved,static_weighted_glucose_final_cpu_time,static_weighted_glucose_protocol_accounted_time,static_weighted_glucose_final_decisions,static_weighted_glucose_final_conflicts,static_weighted_glucose_final_solved,cached_trace_no_adapter_final_final_cpu_time,cached_trace_no_adapter_final_protocol_accounted_time,cached_trace_no_adapter_final_final_decisions,cached_trace_no_adapter_final_final_conflicts,cached_trace_no_adapter_final_final_solved,event_adapter_final_final_cpu_time,event_adapter_final_protocol_accounted_time,event_adapter_final_final_decisions,event_adapter_final_final_conflicts,event_adapter_final_final_solved,known_expected_result,event_adapter_final_known_expected_match,warmup_cpu_time,warmup_conflict_count,warmup_decisions,event_state_l2_sum,event_state_nonzero_vars,event_adapter_graph_gate_evidence,event_adapter_graph_gate_open,adapter_inference_wall_time,adapter_cached_final_cpu_delta,adapter_cached_protocol_delta,adapter_plain_final_cpu_delta,adapter_plain_protocol_delta,adapter_cached_decisions_delta,adapter_cached_conflicts_delta,neutral_plain_final_cpu_delta,static_neutral_final_cpu_delta,adapter_cached_final_cpu_improved,adapter_plain_final_cpu_improved,adapter_plain_protocol_improved,search_ok,search_blowup,random_control
1,50.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=50_canonical_low_warmup_wc1_per_instance.csv,0,k10_color9,base,k10_color9,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,iter=50,4.32823,4.32823,340861.0,314066.0,True,4.1475,4.1475,322229.0,299168.0,True,4.50031,4.667842444000244,321840.0,298649.0,True,4.50031,4.682708847287893,321840.0,298649.0,True,3.41425,3.609632884687185,275905.0,254385.0,True,True,True,0.0126,1.0,8.0,136.93209838867188,90,0.6931471824645996,True,0.0129840373992919,-1.0860599999999998,-1.0730759626007085,-0.9139799999999996,-0.7185971153128148,-45935.0,-44264.0,-0.1807299999999996,0.3528099999999998,True,True,True,True,False,False
1,50.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=50_canonical_low_warmup_wc1_per_instance.csv,0,k10_color9,perm_seed1730,k10_color9_perm1730,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,iter=50,5.0366,5.0366,413643.0,382655.0,True,4.2341,4.2341,283792.0,262594.0,True,4.71538,4.882912444000244,247778.0,229737.0,True,4.71538,4.893954630808532,247778.0,229737.0,True,3.71427,3.905828668207824,250180.0,231632.0,True,True,True,0.010145,1.0,8.0,136.98228454589844,90,0.6931471824645996,True,0.0129840373992919,-1.0011099999999995,-0.9881259626007086,-1.32233,-1.130771331792176,2402.0,1895.0,-0.8025000000000002,0.4812799999999999,True,True,True,False,True,False
1,50.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=50_canonical_low_warmup_wc1_per_instance.csv,0,k10_color9,perm_seed1731,k10_color9_perm1731,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,iter=50,4.11724,4.11724,340033.0,312592.0,True,4.29384,4.29384,290369.0,269757.0,True,4.15952,4.327052444000244,290369.0,269757.0,True,4.15952,4.3394285458689925,290369.0,269757.0,True,4.45972,4.652612583268285,323520.0,300987.0,True,True,True,0.011565,1.0,8.0,137.00555419921875,90,0.6931471824645996,True,0.0129840373992919,0.3002000000000002,0.3131840373992922,0.3424800000000001,0.535372583268285,33151.0,31230.0,0.1766000000000005,-0.1343200000000006,False,False,False,False,True,False
1,50.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=50_canonical_low_warmup_wc1_per_instance.csv,0,k8_color7,base,k8_color7,complete_coloring,strong_symmetry,large,main,strong,56,372,10.0,5.0,iter=50,0.050525,0.050525,6158.0,5600.0,True,0.043297,0.043297,5946.0,5440.0,True,0.049896,0.2174284440002441,5946.0,5440.0,True,0.049896,0.2253643979377746,5946.0,5440.0,True,0.042294,0.2307464353370666,6149.0,5633.0,True,True,True,0.007136,1.0,6.0,84.73548889160156,56,0.6931471824645996,True,0.0129840373992919,-0.007602,0.0053820373992919,-0.008231,0.1802214353370665,203.0,193.0,-0.0072279999999999,0.006599,True,True,False,False,True,False
1,50.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=50_canonical_low_warmup_wc1_per_instance.csv,0,k8_color7,perm_seed1730,k8_color7_perm1730,complete_coloring,strong_symmetry,large,main,strong,56,372,10.0,5.0,iter=50,0.044055,0.044055,6138.0,5624.0,True,0.041471,0.041471,6264.0,5696.0,True,0.051428,0.2189604440002441,6264.0,5696.0,True,0.051428,0.2271522551648616,6264.0,5696.0,True,0.041063,0.2297712925641536,5889.0,5353.0,True,True,True,0.00749,1.0,6.0,84.79159545898438,56,0.6931471824645996,True,0.0129840373992919,-0.010365,0.002619037399292,-0.0029919999999999,0.1857162925641536,-375.0,-343.0,-0.0025839999999999,0.009957,True,True,False,True,False,False
1,50.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=50_canonical_low_warmup_wc1_per_instance.csv,0,k8_color7,perm_seed1731,k8_color7_perm1731,complete_coloring,strong_symmetry,large,main,strong,56,372,10.0,5.0,iter=50,0.04447,0.04447,5800.0,5271.0,True,0.056237,0.056237,6148.0,5641.0,True,0.061767,0.2292994440002441,6148.0,5641.0,True,0.061767,0.2374135100283027,6148.0,5641.0,True,0.041094,0.2297245474275946,6230.0,5694.0,True,True,True,0.007301,1.0,6.0,84.7841796875,56,0.6931471824645996,True,0.0129840373992919,-0.020673,-0.007688962600708,-0.003376,0.1852545474275946,82.0,53.0,0.011767,0.00553,True,True,False,False,True,False
1,50.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=50_canonical_low_warmup_wc1_per_instance.csv,0,k9_color8,base,k9_color8,complete_coloring,strong_symmetry,large,main,strong,72,549,10.0,5.0,iter=50,0.712872,0.712872,46557.0,43529.0,True,0.634641,0.634641,44352.0,41138.0,True,0.777309,0.9448414440002442,43519.0,40436.0,True,0.777309,0.9559598945122362,43519.0,40436.0,True,0.500026,0.6916609319115281,38337.0,35916.0,True,True,True,0.010325,1.0,7.0,109.32144165039062,72,0.6931471824645996,True,0.0129840373992919,-0.277283,-0.264298962600708,-0.2128459999999999,-0.0212110680884718,-5182.0,-4520.0,-0.0782309999999999,0.142668,True,True,True,True,False,False
1,50.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=50_canonical_low_warmup_wc1_per_instance.csv,0,k9_color8,perm_seed1730,k9_color8_perm1730,complete_coloring,strong_symmetry,large,main,strong,72,549,10.0,5.0,iter=50,0.451538,0.451538,39708.0,36681.0,True,0.664488,0.664488,45794.0,42555.0,True,0.84822,1.015752444000244,45794.0,42555.0,True,0.84822,1.017058092762113,45794.0,42555.0,True,0.398422,0.5802441301614046,39478.0,36526.0,True,True,True,0.000528,1.0,7.0,109.58531951904295,72,0.6931471824645996,True,0.0129840373992919,-0.449798,-0.4368139626007082,-0.053116,0.1287061301614046,-6316.0,-6029.0,0.2129499999999999,0.183732,True,True,False,True,False,False
1,50.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=50_canonical_low_warmup_wc1_per_instance.csv,0,k9_color8,perm_seed1731,k9_color8_perm1731,complete_coloring,strong_symmetry,large,main,strong,72,549,10.0,5.0,iter=50,0.778097,0.778097,47177.0,43763.0,True,0.676853,0.676853,47579.0,44103.0,True,0.682022,0.8529905325622559,47579.0,44103.0,True,0.682022,0.8563062005869746,47579.0,44103.0,True,0.443409,0.6248531489359737,39067.0,36227.0,True,True,True,0.002485,1.0,7.0,109.56788635253906,72,0.6931471824645996,True,0.007159948348999,-0.238613,-0.2314530516510009,-0.334688,-0.1532438510640263,-8512.0,-7876.0,-0.101244,0.0051689999999999,True,True,True,True,False,False
1,50.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=50_canonical_low_warmup_wc1_per_instance.csv,0,php_p10_h9,base,php_p10_h9,php,strong_symmetry,large,main,strong,90,775,10.0,5.0,iter=50,4.40607,4.40607,340861.0,314066.0,True,4.14565,4.14565,322229.0,299168.0,True,4.19449,4.365458532562256,321840.0,298649.0,True,4.19449,4.3755649635870455,321840.0,298649.0,True,3.42353,3.611764911936045,275905.0,254385.0,True,True,True,0.009212,1.0,8.0,136.93209838867188,90,0.6931471824645996,True,0.007159948348999,-0.7709600000000001,-0.7638000516510006,-0.9825399999999996,-0.7943050880639548,-45935.0,-44264.0,-0.2604199999999999,0.0488400000000002,True,True,True,True,False,False
