,restarts,conflicts,decisions,propagations,CPU time,Result,cnf_id,sample_id,file,final GPU time,refinement CPU time,refinement GPU time,GPU time,time
0,2.0,1436960.0,1639895.0,80117867.0,59.9869,INDETERMINATE,0,0,data/test/3sat/400/3sat_0.cnf,0.005421876907348633,0.096891,0.3226175308227539,0.32803940773010254,60.4118304077301
1,1.0,73715.0,85712.0,4316774.0,2.62697,SATISFIABLE,1,0,data/test/3sat/400/3sat_1.cnf,0.005421876907348633,0.091561,0.3226175308227539,0.32803940773010254,3.0465704077301026
2,2.0,1560487.0,1781641.0,87990047.0,59.9588,INDETERMINATE,2,0,data/test/3sat/400/3sat_10.cnf,0.005421876907348633,0.09798599999999999,0.3226175308227539,0.32803940773010254,60.3848254077301
3,1.0,3392.0,4166.0,213902.0,0.065536,SATISFIABLE,3,0,data/test/3sat/400/3sat_100.cnf,0.005421876907348633,0.091473,0.3226175308227539,0.32803940773010254,0.48504840773010255
4,2.0,1486943.0,1699349.0,83503837.0,59.9844,INDETERMINATE,4,0,data/test/3sat/400/3sat_101.cnf,0.005421876907348633,0.100908,0.3226175308227539,0.32803940773010254,60.4133474077301
5,2.0,1499596.0,1734759.0,85756342.0,59.9478,INDETERMINATE,5,0,data/test/3sat/400/3sat_102.cnf,0.005421876907348633,0.086667,0.3226175308227539,0.32803940773010254,60.3625064077301
6,2.0,1457482.0,1681806.0,84003848.0,59.9781,INDETERMINATE,6,0,data/test/3sat/400/3sat_103.cnf,0.005421876907348633,0.08652800000000001,0.3226175308227539,0.32803940773010254,60.3926674077301
7,2.0,1429234.0,1632823.0,79514415.0,59.9401,INDETERMINATE,7,0,data/test/3sat/400/3sat_104.cnf,0.005421876907348633,0.09934100000000001,0.3226175308227539,0.32803940773010254,60.367480407730106
8,2.0,1519168.0,1728431.0,86949379.0,59.9604,INDETERMINATE,8,0,data/test/3sat/400/3sat_105.cnf,0.005421876907348633,0.109043,0.3226175308227539,0.32803940773010254,60.3974824077301
9,2.0,1427421.0,1632339.0,79540845.0,59.9795,INDETERMINATE,9,0,data/test/3sat/400/3sat_106.cnf,0.005421876907348633,0.084272,0.3226175308227539,0.32803940773010254,60.3918114077301
10,2.0,1367463.0,1571046.0,78038729.0,59.9873,INDETERMINATE,10,0,data/test/3sat/400/3sat_107.cnf,0.003999471664428711,0.10649600000000001,0.3187286853790283,0.32272815704345703,60.416524157043455
11,2.0,1475282.0,1699395.0,82618628.0,59.9916,INDETERMINATE,11,0,data/test/3sat/400/3sat_108.cnf,0.003999471664428711,0.088615,0.3187286853790283,0.32272815704345703,60.40294315704345
12,2.0,1531935.0,1755307.0,85820322.0,59.9737,INDETERMINATE,12,0,data/test/3sat/400/3sat_109.cnf,0.003999471664428711,0.09334200000000001,0.3187286853790283,0.32272815704345703,60.38977015704346
13,1.0,40661.0,47692.0,2496556.0,1.34533,SATISFIABLE,13,0,data/test/3sat/400/3sat_11.cnf,0.003999471664428711,0.093516,0.3187286853790283,0.32272815704345703,1.7615741570434569
14,2.0,1492550.0,1712785.0,86302191.0,59.9819,INDETERMINATE,14,0,data/test/3sat/400/3sat_110.cnf,0.003999471664428711,0.08748800000000001,0.3187286853790283,0.32272815704345703,60.39211615704346
15,2.0,1449579.0,1662962.0,84661287.0,59.9841,INDETERMINATE,15,0,data/test/3sat/400/3sat_111.cnf,0.003999471664428711,0.08995,0.3187286853790283,0.32272815704345703,60.39677815704346
16,2.0,1499565.0,1704492.0,86695283.0,59.9742,INDETERMINATE,16,0,data/test/3sat/400/3sat_112.cnf,0.003999471664428711,0.09682099999999999,0.3187286853790283,0.32272815704345703,60.39374915704346
17,2.0,1402084.0,1590976.0,80412239.0,59.9555,INDETERMINATE,17,0,data/test/3sat/400/3sat_113.cnf,0.003999471664428711,0.099047,0.3187286853790283,0.32272815704345703,60.37727515704346
18,2.0,1450323.0,1665492.0,82055620.0,59.9747,INDETERMINATE,18,0,data/test/3sat/400/3sat_114.cnf,0.003999471664428711,0.094227,0.3187286853790283,0.32272815704345703,60.39165515704345
19,2.0,1377624.0,1573152.0,77839388.0,59.9802,INDETERMINATE,19,0,data/test/3sat/400/3sat_115.cnf,0.003999471664428711,0.098815,0.3187286853790283,0.32272815704345703,60.40174315704346
20,2.0,1480002.0,1684600.0,82631537.0,59.9846,INDETERMINATE,20,0,data/test/3sat/400/3sat_116.cnf,0.0039827823638916016,0.10624800000000001,0.2778916358947754,0.281874418258667,60.37272241825867
21,2.0,1481556.0,1696039.0,82755499.0,59.9849,INDETERMINATE,21,0,data/test/3sat/400/3sat_117.cnf,0.0039827823638916016,0.082154,0.2778916358947754,0.281874418258667,60.34892841825867
22,2.0,1460954.0,1670170.0,82214145.0,59.9702,INDETERMINATE,22,0,data/test/3sat/400/3sat_118.cnf,0.0039827823638916016,0.088705,0.2778916358947754,0.281874418258667,60.34077941825866
23,2.0,1520458.0,1738588.0,84101243.0,59.9816,INDETERMINATE,23,0,data/test/3sat/400/3sat_119.cnf,0.0039827823638916016,0.089026,0.2778916358947754,0.281874418258667,60.352500418258664
24,2.0,1445456.0,1653027.0,81184473.0,59.9972,INDETERMINATE,24,0,data/test/3sat/400/3sat_12.cnf,0.0039827823638916016,0.093773,0.2778916358947754,0.281874418258667,60.372847418258665
25,1.0,23077.0,27394.0,1439359.0,0.674729,SATISFIABLE,25,0,data/test/3sat/400/3sat_120.cnf,0.0039827823638916016,0.098029,0.2778916358947754,0.281874418258667,1.054632418258667
26,1.0,47329.0,54623.0,2823769.0,1.35502,SATISFIABLE,26,0,data/test/3sat/400/3sat_121.cnf,0.0039827823638916016,0.095114,0.2778916358947754,0.281874418258667,1.7320084182586668
27,2.0,1484837.0,1698629.0,84903507.0,59.9893,INDETERMINATE,27,0,data/test/3sat/400/3sat_122.cnf,0.0039827823638916016,0.101692,0.2778916358947754,0.281874418258667,60.37286641825867
28,2.0,1490014.0,1695156.0,84884828.0,59.9677,INDETERMINATE,28,0,data/test/3sat/400/3sat_123.cnf,0.0039827823638916016,0.09576300000000001,0.2778916358947754,0.281874418258667,60.345337418258666
29,1.0,654.0,900.0,43163.0,0.010935,SATISFIABLE,29,0,data/test/3sat/400/3sat_124.cnf,0.0039827823638916016,0.06654399999999999,0.2778916358947754,0.281874418258667,0.35935341825866696
30,1.0,87018.0,101016.0,5296049.0,3.1351,SATISFIABLE,30,0,data/test/3sat/400/3sat_125.cnf,0.005461454391479492,0.095643,0.2867696285247803,0.29223108291625977,3.5229740829162597
31,2.0,1536177.0,1756634.0,88039846.0,59.9667,INDETERMINATE,31,0,data/test/3sat/400/3sat_126.cnf,0.005461454391479492,0.090415,0.2867696285247803,0.29223108291625977,60.34934608291626
32,2.0,1434565.0,1660619.0,83980329.0,59.991,INDETERMINATE,32,0,data/test/3sat/400/3sat_127.cnf,0.005461454391479492,0.085118,0.2867696285247803,0.29223108291625977,60.36834908291626
33,2.0,238642.0,275833.0,14368684.0,7.98128,SATISFIABLE,33,0,data/test/3sat/400/3sat_128.cnf,0.005461454391479492,0.095632,0.2867696285247803,0.29223108291625977,8.36914308291626
34,1.0,28034.0,33114.0,1750425.0,0.808377,SATISFIABLE,34,0,data/test/3sat/400/3sat_129.cnf,0.005461454391479492,0.101978,0.2867696285247803,0.29223108291625977,1.2025860829162598
35,2.0,1482843.0,1695898.0,86443098.0,59.997,INDETERMINATE,35,0,data/test/3sat/400/3sat_13.cnf,0.005461454391479492,0.090472,0.2867696285247803,0.29223108291625977,60.37970308291626
