,restarts,conflicts,decisions,propagations,CPU time,Result,cnf_id,sample_id,file,final GPU time,refinement CPU time,refinement GPU time,GPU time,time
0,2.0,1477085.0,1685697.0,82317549.0,59.9893,INDETERMINATE,0,0,data/test/3sat/400/3sat_0.cnf,0.00545191764831543,0.067474,0.33670759201049805,0.3421595096588135,60.39893350965881
1,1.0,73715.0,85712.0,4316774.0,2.99608,SATISFIABLE,1,0,data/test/3sat/400/3sat_1.cnf,0.00545191764831543,0.08524,0.33670759201049805,0.3421595096588135,3.4234795096588138
2,2.0,1494306.0,1706247.0,84324074.0,59.9808,INDETERMINATE,2,0,data/test/3sat/400/3sat_10.cnf,0.00545191764831543,0.076309,0.33670759201049805,0.3421595096588135,60.39926850965882
3,1.0,3392.0,4166.0,213902.0,0.06084,SATISFIABLE,3,0,data/test/3sat/400/3sat_100.cnf,0.00545191764831543,0.075326,0.33670759201049805,0.3421595096588135,0.4783255096588135
4,2.0,1446568.0,1653108.0,81264228.0,59.9728,INDETERMINATE,4,0,data/test/3sat/400/3sat_101.cnf,0.00545191764831543,0.08605199999999999,0.33670759201049805,0.3421595096588135,60.401011509658815
5,2.0,1468552.0,1699125.0,84003353.0,59.9759,INDETERMINATE,5,0,data/test/3sat/400/3sat_102.cnf,0.00545191764831543,0.083068,0.33670759201049805,0.3421595096588135,60.401127509658814
6,2.0,1455693.0,1679738.0,83906858.0,59.969,INDETERMINATE,6,0,data/test/3sat/400/3sat_103.cnf,0.00545191764831543,0.067774,0.33670759201049805,0.3421595096588135,60.378933509658815
7,2.0,1466377.0,1675118.0,81512646.0,59.9672,INDETERMINATE,7,0,data/test/3sat/400/3sat_104.cnf,0.00545191764831543,0.082849,0.33670759201049805,0.3421595096588135,60.392208509658815
8,2.0,1559523.0,1774308.0,89211544.0,59.985,INDETERMINATE,8,0,data/test/3sat/400/3sat_105.cnf,0.00545191764831543,0.060968,0.33670759201049805,0.3421595096588135,60.388127509658815
9,2.0,1428791.0,1633872.0,79615427.0,59.9779,INDETERMINATE,9,0,data/test/3sat/400/3sat_106.cnf,0.00545191764831543,0.058586,0.33670759201049805,0.3421595096588135,60.37864550965881
10,2.0,1351082.0,1552154.0,77132914.0,59.9681,INDETERMINATE,10,0,data/test/3sat/400/3sat_107.cnf,0.0041735172271728516,0.06548699999999999,0.33107447624206543,0.3352479934692383,60.368834993469235
11,2.0,1489002.0,1715033.0,83368414.0,59.9841,INDETERMINATE,11,0,data/test/3sat/400/3sat_108.cnf,0.0041735172271728516,0.06831899999999999,0.33107447624206543,0.3352479934692383,60.38766699346924
12,2.0,1521100.0,1742862.0,85220091.0,59.9664,INDETERMINATE,12,0,data/test/3sat/400/3sat_109.cnf,0.0041735172271728516,0.075688,0.33107447624206543,0.3352479934692383,60.37733599346924
