,restarts,conflicts,decisions,propagations,CPU time,Result,cnf_id,sample_id,file,final GPU time,refinement CPU time,refinement GPU time,GPU time,time
0,2.0,1430136.0,1632063.0,79745940.0,59.9551,INDETERMINATE,0,0,data/test/3sat/400/3sat_0.cnf,0.004244327545166016,0.08196500000000001,0.3202035427093506,0.3244478702545166,60.361512870254515
1,1.0,73715.0,85712.0,4316774.0,2.9259,SATISFIABLE,1,0,data/test/3sat/400/3sat_1.cnf,0.004244327545166016,0.081792,0.3202035427093506,0.3244478702545166,3.3321398702545166
2,2.0,1499866.0,1712574.0,84627555.0,59.9742,INDETERMINATE,2,0,data/test/3sat/400/3sat_10.cnf,0.004244327545166016,0.083343,0.3202035427093506,0.3244478702545166,60.38199087025452
3,1.0,3392.0,4166.0,213902.0,0.065128,SATISFIABLE,3,0,data/test/3sat/400/3sat_100.cnf,0.004244327545166016,0.078542,0.3202035427093506,0.3244478702545166,0.4681178702545166
4,2.0,1454773.0,1662440.0,81715061.0,59.9575,INDETERMINATE,4,0,data/test/3sat/400/3sat_101.cnf,0.004244327545166016,0.082494,0.3202035427093506,0.3244478702545166,60.36444187025452
5,2.0,1502127.0,1737732.0,85898948.0,59.9856,INDETERMINATE,5,0,data/test/3sat/400/3sat_102.cnf,0.004244327545166016,0.072197,0.3202035427093506,0.3244478702545166,60.38224487025452
6,2.0,1492652.0,1722268.0,85952713.0,59.9896,INDETERMINATE,6,0,data/test/3sat/400/3sat_103.cnf,0.004244327545166016,0.084815,0.3202035427093506,0.3244478702545166,60.39886287025452
7,2.0,1455589.0,1662930.0,80934923.0,59.9693,INDETERMINATE,7,0,data/test/3sat/400/3sat_104.cnf,0.004244327545166016,0.08956700000000001,0.3202035427093506,0.3244478702545166,60.383314870254516
8,2.0,1551074.0,1764603.0,88731762.0,59.9798,INDETERMINATE,8,0,data/test/3sat/400/3sat_105.cnf,0.004244327545166016,0.070398,0.3202035427093506,0.3244478702545166,60.37464587025451
9,2.0,1510407.0,1718716.0,85283024.0,59.9627,INDETERMINATE,9,0,data/test/3sat/400/3sat_106.cnf,0.004244327545166016,0.06962299999999999,0.3202035427093506,0.3244478702545166,60.356770870254515
10,2.0,1375463.0,1580284.0,78469881.0,59.974,INDETERMINATE,10,0,data/test/3sat/400/3sat_107.cnf,0.004386425018310547,0.069371,0.34996938705444336,0.3543558120727539,60.39772681207275
11,2.0,1440731.0,1659398.0,80717478.0,59.9648,INDETERMINATE,11,0,data/test/3sat/400/3sat_108.cnf,0.004386425018310547,0.071053,0.34996938705444336,0.3543558120727539,60.39020881207275
12,2.0,1491089.0,1708395.0,83520690.0,59.9715,INDETERMINATE,12,0,data/test/3sat/400/3sat_109.cnf,0.004386425018310547,0.06451,0.34996938705444336,0.3543558120727539,60.39036581207275
13,1.0,40661.0,47692.0,2496556.0,1.38188,SATISFIABLE,13,0,data/test/3sat/400/3sat_11.cnf,0.004386425018310547,0.079092,0.34996938705444336,0.3543558120727539,1.8153278120727538
14,2.0,1464572.0,1680891.0,84726533.0,59.9975,INDETERMINATE,14,0,data/test/3sat/400/3sat_110.cnf,0.004386425018310547,0.074849,0.34996938705444336,0.3543558120727539,60.42670481207276
15,2.0,1424937.0,1634918.0,83279934.0,59.9708,INDETERMINATE,15,0,data/test/3sat/400/3sat_111.cnf,0.004386425018310547,0.075457,0.34996938705444336,0.3543558120727539,60.40061281207275
16,2.0,1480155.0,1682481.0,85626792.0,59.9787,INDETERMINATE,16,0,data/test/3sat/400/3sat_112.cnf,0.004386425018310547,0.079601,0.34996938705444336,0.3543558120727539,60.412656812072754
17,2.0,1367832.0,1552208.0,78548320.0,59.9753,INDETERMINATE,17,0,data/test/3sat/400/3sat_113.cnf,0.004386425018310547,0.073012,0.34996938705444336,0.3543558120727539,60.40266781207275
18,2.0,1430990.0,1643525.0,80994860.0,59.9693,INDETERMINATE,18,0,data/test/3sat/400/3sat_114.cnf,0.004386425018310547,0.077824,0.34996938705444336,0.3543558120727539,60.40147981207275
