size,method,paper_name,available,total,unique_files,solved,timeouts,mean_time,median_time,max_time,source_csv,protocol,note,solved_std,mean_time_std
300,glucose_default,Glucose default,True,200,200,197.0,3.0,20.22192382,18.6304,62.7531,runs/glucose/solver_stats_300_cpu60.csv,single_run,single-run nominal 60s / external 65s guard,,
300,one_shot,One-shot,True,200,200,200.0,0.0,15.311458525441285,14.098938780441284,43.57029878044128,runs/analysis/appendix_300350/raw/one_shot_300.csv,single_run,appendix same-protocol rerun,,
300,online_consistent_boundary400,Online-Consistent Selector,True,200,200,200.0,0.0,7.272318541766663,6.060745320495605,35.49942591661072,runs/analysis/appendix_300350/raw/online_consistent_300.csv,single_run,appendix same-protocol rerun; local manifest disabled,,
300,old_compact,Old Compact,True,200,200,200.0,0.0,8.907334466330262,7.597205569587707,44.368305921478274,runs/analysis/generalization_baseline/raw/old_compact_300.csv,single_run,matched final config rerun; local manifest disabled,,
350,glucose_default,Glucose default,True,200,200,73.0,127.0,47.453478919999995,60.0,64.2741,runs/glucose/solver_stats_350_cpu60.csv,single_run,single-run nominal 60s / external 65s guard,,
350,one_shot,One-shot,True,200,200,108.0,92.0,43.74057890627808,57.103738091278075,69.81008809127808,runs/analysis/appendix_300350/raw/one_shot_350.csv,single_run,appendix same-protocol rerun,,
350,online_consistent_boundary400,Online-Consistent Selector,True,200,200,109.0,91.0,33.81538021931961,40.06517029348755,60.426506561203006,runs/analysis/appendix_300350/raw/online_consistent_350.csv,single_run,appendix same-protocol rerun; local manifest disabled,,
350,old_compact,Old Compact,True,200,200,103.0,97.0,34.918335731467444,46.5330041404953,60.50420756443786,runs/analysis/generalization_baseline/raw/old_compact_350.csv,single_run,matched final config rerun; local manifest disabled,,
400,glucose_default,Glucose default,True,200,200,13.0,187.0,57.61451115,60.0,61.3379,runs/glucose/solver_stats_full400_cpu60.csv,single_run,single-run nominal 60s / external 65s guard,,
400,cadical_default,CaDiCaL default,True,200,200,75.0,125.0,42.92442253967514,60.0,60.0,runs/cadical/solver_stats_full400_cpu60.csv,single_run,single-run CaDiCaL 1.5.2 wall-clock 60s / external 65s guard,,
400,one_shot,One-shot,True,200,200,48.0,152.0,47.66469374202753,60.288920203844704,,runs/analysis/full400_seed_robustness/method_summary.csv,3_seed_robustness,seeds 1/2/3; Local Boundary Correction only appears at 400,0.0,0.0206702548965241
400,online_consistent_boundary400,Online-Consistent Selector,True,200,200,53.0,147.0,46.323601891114095,60.36647401773072,,runs/analysis/full400_seed_robustness/method_summary.csv,3_seed_robustness,seeds 1/2/3; Local Boundary Correction only appears at 400,0.0,0.0097846808555651
400,old_compact,Old Compact,True,200,200,54.0,146.0,46.27774595507939,60.37253785467275,,runs/analysis/full400_seed_robustness/method_summary.csv,3_seed_robustness,seeds 1/2/3; Local Boundary Correction only appears at 400,0.0,0.0176315504746086
400,local_reopen_guarded,+ Local Boundary Correction,True,200,200,54.0,146.0,45.91385553458354,60.36885614113617,,runs/analysis/full400_seed_robustness/method_summary.csv,3_seed_robustness,seeds 1/2/3; Local Boundary Correction only appears at 400,0.0,0.0149622921414844
