cadical_result,cadical_solved,cadical_time,cadical_wall_time,file,file_key,local_actual_wall_time,local_cpu_time_reported,local_external_timeout,local_result,local_solved,local_stage,local_total_time_reported,local_wall_time,portfolio_solved,portfolio_time
UNKNOWN,False,55.0,55.00790678523481,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_0.cnf,3sat_0.cnf,5.036725546699017,4.730101858265698,True,TIMEOUT,False,final,4.869246296315015,5.0,False,60.0
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_1.cnf,3sat_1.cnf,2.4612194299697876,2.16015,False,SATISFIABLE,True,final,2.29204429119873,2.4612194299697876,True,2.4612194299697876
SATISFIABLE,True,0.49728781497105956,0.49728781497105956,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_10.cnf,3sat_10.cnf,5.036389330867678,4.740398744121194,True,TIMEOUT,False,final,4.875245896983743,5.0,True,5.49728781497106
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_100.cnf,3sat_100.cnf,0.34977826895192266,0.047962,False,SATISFIABLE,True,final,0.18077672512817383,0.34977826895192266,True,0.34977826895192266
UNKNOWN,False,55.0,55.009237909223884,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_101.cnf,3sat_101.cnf,5.036618235055357,4.680782260838896,True,TIMEOUT,False,final,4.873190521001249,5.0,False,60.0
UNKNOWN,False,55.0,55.007235154975206,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_102.cnf,3sat_102.cnf,5.036345148924738,4.740596652962267,True,TIMEOUT,False,final,4.877328706062853,5.0,False,60.0
UNKNOWN,False,55.0,55.007424070034176,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_103.cnf,3sat_103.cnf,5.0356247066520154,4.739949952345341,True,TIMEOUT,False,final,4.867535370314092,5.0,False,60.0
UNKNOWN,False,55.0,55.00709096994251,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_104.cnf,3sat_104.cnf,5.03545902017504,4.739855171646923,True,TIMEOUT,False,final,4.871016584946483,5.0,False,60.0
UNKNOWN,False,55.0,55.008522862102836,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_105.cnf,3sat_105.cnf,5.0370847643353045,4.74436236359179,True,TIMEOUT,False,final,4.876308703206658,5.0,False,60.0
UNKNOWN,False,55.0,55.00913733104244,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_106.cnf,3sat_106.cnf,5.03776215063408,4.735308179166168,True,TIMEOUT,False,final,4.873051629437774,5.0,False,60.0
