file_key,portfolio_solved_repeats,local_first_stage_solved_repeats,cadical_second_stage_solved_repeats,portfolio_only_vs_cadical_repeats,cadical_only_vs_portfolio_repeats,stable_portfolio_solved,stable_portfolio_only_vs_cadical,cadical_60s_solved,cadical_60s_time,local_correction_time_mean,portfolio_time_mean,portfolio_time_std,pattern
3sat_0.cnf,0,0,0,0,0,True,True,False,60.0,60.42343984547424,60.0,0.0,0000
3sat_1.cnf,3,3,0,0,0,True,True,True,5.248078817967325,3.2754621788075764,2.479131082383295,0.015035978644748801,1111
3sat_10.cnf,3,0,3,0,0,True,True,True,0.6102093798108399,60.40621217880758,5.496741470259924,0.004505543902459763,0000
3sat_100.cnf,3,3,0,0,0,True,True,True,1.4388732258230448,0.5082198454742431,0.34196781118710834,0.008526990620916584,1111
3sat_101.cnf,0,0,0,0,0,True,True,False,60.0,60.41664851214091,60.0,0.0,0000
3sat_102.cnf,0,0,0,0,0,True,True,False,60.0,60.41138817880758,60.0,0.0,0000
3sat_103.cnf,0,0,0,0,0,True,True,False,60.0,60.42698351214091,60.0,0.0,0000
3sat_104.cnf,0,0,0,0,0,True,True,False,60.0,60.41900984547425,60.0,0.0,0000
3sat_105.cnf,0,0,0,0,0,True,True,False,60.0,60.4280805121409,60.0,0.0,0000
3sat_106.cnf,0,0,0,0,0,True,True,False,60.0,60.42287884547424,60.0,0.0,0000
3sat_107.cnf,0,0,0,0,0,True,True,False,60.0,60.41776832716878,60.0,0.0,0000
3sat_108.cnf,0,0,0,0,0,True,True,False,60.0,60.41362466050212,60.0,0.0,0000
3sat_109.cnf,0,0,0,0,0,True,True,False,60.0,60.417004327168776,60.0,0.0,0000
3sat_11.cnf,3,3,0,0,0,True,True,True,17.923918209969997,1.827014660502116,1.388797746039927,0.010069340970915754,1111
3sat_110.cnf,0,0,0,0,0,True,True,False,60.0,60.42402299383545,60.0,0.0,0000
3sat_111.cnf,3,0,3,3,0,True,True,False,60.0,60.42047099383546,58.80488551702971,0.4335897020418594,0000
3sat_112.cnf,0,0,0,0,0,True,True,False,60.0,60.41818966050212,60.0,0.0,0000
3sat_113.cnf,0,0,0,0,0,True,True,False,60.0,60.42196766050211,60.0,0.0,0000
3sat_114.cnf,0,0,0,0,0,True,True,False,60.0,60.412501327168776,60.0,0.0,0000
3sat_115.cnf,0,0,0,0,0,True,True,False,60.0,60.39914532716878,60.0,0.0,0000
3sat_116.cnf,0,0,0,0,0,True,True,False,60.0,60.407644747706094,60.0,0.0,0000
3sat_117.cnf,0,0,0,0,0,True,True,False,60.0,60.4007837477061,60.0,0.0,0000
3sat_118.cnf,0,0,0,0,0,True,True,False,60.0,60.407033747706095,60.0,0.0,0000
3sat_119.cnf,0,0,0,0,0,True,True,False,60.0,60.41252074770609,60.0,0.0,0000
3sat_12.cnf,0,0,0,0,0,True,True,False,60.0,60.39626041437276,60.0,0.0,0000
3sat_120.cnf,3,3,0,0,0,True,True,True,2.764279928058386,1.114239414372762,0.8419185651776692,0.016128398178465314,1111
3sat_121.cnf,3,3,0,0,0,True,True,True,5.005294237285852,1.8379404143727625,1.3864638516679406,0.012368729053618336,1111
3sat_122.cnf,3,0,3,0,0,True,True,True,6.797467355150729,60.397408747706095,10.384753262624145,0.007473089656988037,0000
3sat_123.cnf,3,0,3,0,0,True,True,True,1.4617841257713735,60.402067414372766,6.156062468265493,0.006741396965809813,0000
3sat_124.cnf,3,3,0,0,0,True,True,True,0.607330528087914,0.4124460810394287,0.2597512848054369,0.01706062384035363,1111
3sat_125.cnf,3,3,0,0,0,True,True,True,5.06095805298537,3.592960065002442,2.725684879347682,0.014208906677916558,1111
3sat_126.cnf,0,0,0,0,0,True,True,False,60.0,60.39043939833578,60.0,0.0,0000
3sat_127.cnf,3,0,3,0,0,True,True,True,53.94842276209965,60.38464439833577,49.104114073328674,0.6247934609445965,0000
3sat_128.cnf,3,0,3,0,0,True,True,True,2.6882882360368967,8.684183731669108,7.135664472666879,0.014222984786329516,1111
3sat_129.cnf,3,3,0,0,0,True,True,True,0.624185673892498,1.214219731669108,0.9204548882941405,0.014655490847212476,1111
3sat_13.cnf,3,0,3,0,0,True,True,True,52.16563203977421,60.384322398335776,42.835568721250944,0.4743135750644843,0000
3sat_130.cnf,3,3,0,0,0,True,True,True,1.4016004079021511,4.962869398335776,3.7823021366881826,0.033289158009278876,1111
3sat_131.cnf,3,3,0,0,0,True,True,True,56.96055402420461,3.719567398335775,2.8469290221109986,0.026005622228027214,1111
3sat_132.cnf,3,3,0,3,0,True,True,False,60.0,0.471170731669108,0.31500532804057,0.009885125767904472,1111
3sat_133.cnf,0,0,0,0,0,True,True,False,60.0,60.40795439833577,60.0,0.0,0000
3sat_134.cnf,0,0,0,0,0,True,True,False,60.0,60.39642854092407,60.0,0.0,0000
3sat_135.cnf,0,0,0,0,0,True,True,False,60.0,60.39092087425741,60.0,0.0,0000
3sat_136.cnf,0,0,0,0,0,True,True,False,60.0,60.38873920759074,60.0,0.0,0000
3sat_137.cnf,0,0,0,0,0,True,True,False,60.0,60.38904887425739,60.0,0.0,0000
3sat_138.cnf,3,0,3,0,0,True,True,True,36.2161043509841,60.38606687425741,34.73262468306348,0.36624619598344094,0000
3sat_139.cnf,0,0,0,0,0,True,True,False,60.0,60.39680387425741,60.0,0.0,0000
3sat_14.cnf,3,3,0,0,0,True,True,True,1.3668759097345171,5.835136207590739,4.358050977345556,0.0013756714418810732,1111
3sat_140.cnf,3,3,0,3,0,True,True,False,60.0,5.46549120759074,4.157212676169972,0.030025711429221655,1111
3sat_141.cnf,3,3,0,0,0,True,True,True,18.19591219909489,3.40398820759074,2.5611745230853558,0.014690737323040928,1111
3sat_142.cnf,3,3,0,0,0,True,True,True,0.6022515329532325,2.4986805409240724,1.9169637146405876,0.009926101092777216,1111
3sat_143.cnf,0,0,0,0,0,True,True,False,60.0,60.40826031393433,60.0,0.0,0000
3sat_144.cnf,0,0,0,0,0,True,True,False,60.0,60.40034231393432,60.0,0.0,0000
3sat_145.cnf,0,0,0,0,0,True,True,False,60.0,60.402986980600986,60.0,0.0,0000
3sat_146.cnf,0,0,0,0,0,True,True,False,60.0,60.40785831393433,60.0,0.0,0000
3sat_147.cnf,0,0,0,0,0,True,True,False,60.0,13.594362647267658,60.0,0.0,1111
3sat_148.cnf,3,0,3,0,0,True,True,True,26.65602825814858,60.39607031393433,26.49041504304235,0.27190464511139534,0000
3sat_149.cnf,3,3,0,0,0,True,True,True,9.47403134033084,4.28076564726766,3.2331166026803353,0.014858284797032545,1111
3sat_15.cnf,0,0,0,0,0,True,True,False,60.0,60.40033231393432,60.0,0.0,0000
3sat_150.cnf,3,3,0,0,0,True,True,True,0.6038581440225244,0.8217769806009928,0.5939485171499351,0.006581883730728901,1111
3sat_151.cnf,0,0,0,0,0,True,True,False,60.0,60.411970313934326,60.0,0.0,0000
3sat_152.cnf,0,0,0,0,0,True,True,False,60.0,60.38102393755086,60.0,0.0,0000
3sat_153.cnf,0,0,0,0,0,True,True,False,60.0,60.372472604217535,60.0,0.0,0000
3sat_154.cnf,3,3,0,0,0,True,True,True,2.75419194623828,0.6164282708841959,0.4658613922074437,0.00877970480296283,1111
3sat_155.cnf,0,0,0,0,0,True,True,False,60.0,60.39620560421753,60.0,0.0,0000
3sat_156.cnf,0,0,0,0,0,True,True,False,60.0,60.3909112708842,60.0,0.0,0000
3sat_157.cnf,3,0,3,0,0,True,True,True,6.270832111127675,34.450387937550865,10.208022232477864,0.07413435660434617,1111
3sat_158.cnf,0,0,0,0,0,True,True,False,60.0,60.39255493755087,60.0,0.0,0000
3sat_159.cnf,0,0,0,0,0,True,True,False,60.0,60.385860270884194,60.0,0.0,0000
3sat_16.cnf,0,0,0,0,0,True,True,False,60.0,60.38495993755086,60.0,0.0,0000
3sat_160.cnf,0,0,0,0,0,True,True,False,60.0,60.3848122708842,60.0,0.0,0000
3sat_161.cnf,3,0,3,0,0,True,True,True,35.81325959926471,60.38616282889303,35.00031378958374,0.09708552385893862,0000
3sat_162.cnf,0,0,0,0,0,True,True,False,60.0,60.35957882889303,60.0,0.0,0000
3sat_163.cnf,3,0,3,0,0,True,True,True,18.501433050259948,35.27130982889302,19.89957845568036,0.17073550857327172,0111
3sat_164.cnf,3,0,3,0,0,True,True,True,26.31007248768583,60.3659494955597,26.891285571890574,0.21301141691881467,0000
3sat_165.cnf,3,3,0,0,0,True,True,True,5.116305225994438,0.4196154955596924,0.33054476805652183,0.021803778386520374,1111
3sat_166.cnf,0,0,0,0,0,True,True,False,60.0,60.38139316222635,60.0,0.0,0000
3sat_167.cnf,3,0,3,0,0,True,True,True,9.51387830125168,13.27350116222636,12.589511191627631,0.05761057219056596,1111
3sat_168.cnf,0,0,0,0,0,True,True,False,60.0,60.37868382889303,60.0,0.0,0000
3sat_169.cnf,0,0,0,0,0,True,True,False,60.0,60.37091116222636,60.0,0.0,0000
3sat_17.cnf,0,0,0,0,0,True,True,False,60.0,60.36302849555969,60.0,0.0,0000
3sat_170.cnf,0,0,0,0,0,True,True,False,60.0,60.40269423980205,60.0,0.0,0000
3sat_171.cnf,0,0,0,0,0,True,True,False,60.0,60.39776923980204,60.0,0.0,0000
3sat_172.cnf,0,0,0,0,0,True,True,False,60.0,60.40451857313538,60.0,0.0,0000
3sat_173.cnf,0,0,0,0,0,True,True,False,60.0,60.40367157313538,60.0,0.0,0000
3sat_174.cnf,0,0,0,0,0,True,True,False,60.0,60.40747557313538,60.0,0.0,0000
3sat_175.cnf,3,0,3,0,0,True,True,True,18.44206083472818,60.39777023980204,20.208785313802462,0.1508407329244089,0000
3sat_176.cnf,3,3,0,0,0,True,True,True,6.5517137493006885,1.873989573135376,1.4700744763637583,0.017822522104628293,1111
