file_key,one_shot_solved_seeds,one_shot_solved,one_shot_time_mean,one_shot_time_std,one_shot_result_values,online_solved_seeds,online_solved,online_time_mean,online_time_std,online_result_values,old_compact_solved_seeds,old_compact_solved,old_compact_time_mean,old_compact_time_std,old_compact_result_values,local_correction_solved_seeds,local_correction_solved,local_correction_time_mean,local_correction_time_std,local_correction_result_values,pattern,pattern_label,stable_across_seeds_all_methods,old_minus_online_time_mean,local_minus_online_time_mean,local_minus_old_time_mean,cadical_result,cadical_solved,cadical_time,cadical_wall_time,external_timeout_x,returncode_x,file,local_stage1_solved,Result,stage2_solved,stage2_time,wall_time,external_timeout_y,returncode_y,stage2_run,portfolio_solved,portfolio_time,mode,first_cap,second_cap,portfolio_only_vs_cadical,cadical_only_vs_portfolio
3sat_0.cnf,0,False,60.28425401535034,0.0107171860140395,INDETERMINATE,0,False,60.44960028707377,0.032037751638097,INDETERMINATE,0,False,60.38791285391236,0.0263115357926318,INDETERMINATE,0,False,60.42343984547424,0.0531885543173046,INDETERMINATE,0000,p0000,True,-0.0616874331614099,-0.0261604415995293,0.0355269915618805,UNKNOWN,False,60.0,60.01657090662047,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_0.cnf,False,UNKNOWN,False,55.0,55.008792356122285,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_1.cnf,3,True,3.051657348683675,0.126435157197926,SATISFIABLE,3,True,3.2917032870737715,0.0510024490156848,SATISFIABLE,3,True,3.26375352057902,0.0521286791148794,SATISFIABLE,3,True,3.2754621788075764,0.0337903862816932,SATISFIABLE,1111,p1111,True,-0.0279497664947516,-0.016241108266195,0.0117086582285566,SATISFIABLE,True,5.248078817967325,5.248078817967325,False,10,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_1.cnf,True,,False,55.0,,,,False,True,3.2754621788075764,full,5.0,55.0,False,False
3sat_10.cnf,0,False,60.28458734868368,0.0116939130179873,INDETERMINATE,0,False,60.44868028707378,0.0184271144972882,INDETERMINATE,0,False,60.39509718724569,0.0128100072414928,INDETERMINATE,0,False,60.40621217880758,0.0441281892691093,INDETERMINATE,0000,p0000,True,-0.0535830998280886,-0.042468108266199,0.0111149915618895,SATISFIABLE,True,0.6102093798108399,0.6102093798108399,False,10,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_10.cnf,False,SATISFIABLE,True,0.499820414930582,0.499820414930582,False,10.0,True,True,5.499820414930582,full,5.0,55.0,False,False
3sat_100.cnf,3,True,0.3787433486836751,0.0082202213283809,SATISFIABLE,3,True,0.5560572870737711,0.0324937867861092,SATISFIABLE,3,True,0.4988178539123535,0.0275649514179628,SATISFIABLE,3,True,0.5082198454742431,0.0459037675750766,SATISFIABLE,1111,p1111,True,-0.0572394331614175,-0.0478374415995279,0.0094019915618895,SATISFIABLE,True,1.4388732258230448,1.4388732258230448,False,10,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_100.cnf,True,,False,55.0,,,,False,True,0.5082198454742431,full,5.0,55.0,False,False
3sat_101.cnf,0,False,60.28878734868368,0.0046135076396831,INDETERMINATE,0,False,60.4466856204071,0.0247382266691689,INDETERMINATE,0,False,60.39612152057902,0.0299356663937022,INDETERMINATE,0,False,60.41664851214091,0.0477259227008053,INDETERMINATE,0000,p0000,True,-0.0505640998280796,-0.0300371082661925,0.020526991561887,UNKNOWN,False,60.0,60.00882955500856,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_101.cnf,False,UNKNOWN,False,55.0,55.00838185613975,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_102.cnf,0,False,60.28662068201701,0.0069507124390036,INDETERMINATE,0,False,60.456811287073776,0.0237501880471524,INDETERMINATE,0,False,60.40376285391236,0.0295127977096069,INDETERMINATE,0,False,60.41138817880758,0.0533089196354981,INDETERMINATE,0000,p0000,True,-0.0530484331614218,-0.0454231082661991,0.0076253248952227,UNKNOWN,False,60.0,60.00923928478733,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_102.cnf,False,UNKNOWN,False,55.0,55.00774881290272,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_103.cnf,0,False,60.29068734868368,0.0089608801802217,INDETERMINATE,0,False,60.46130395374044,0.0193034762024229,INDETERMINATE,0,False,60.41140618724569,0.0202441481521375,INDETERMINATE,0,False,60.42698351214091,0.0440533063879381,INDETERMINATE,0000,p0000,True,-0.0498977664947517,-0.034320441599533,0.0155773248952186,UNKNOWN,False,60.0,60.00750200310722,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_103.cnf,False,UNKNOWN,False,55.0,55.007845499087125,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_104.cnf,0,False,60.29535401535035,0.0165651965444642,INDETERMINATE,0,False,60.46698628707377,0.0211621205625731,INDETERMINATE,0,False,60.40918652057903,0.0304424308645493,INDETERMINATE,0,False,60.41900984547425,0.0656230139935888,INDETERMINATE,0000,p0000,True,-0.057799766494746,-0.0479764415995234,0.0098233248952226,UNKNOWN,False,60.0,60.00827448396012,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_104.cnf,False,UNKNOWN,False,55.0,55.00798380887136,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_105.cnf,0,False,60.29182068201701,0.0237058588905912,INDETERMINATE,0,False,60.45620162040711,0.0372696291159625,INDETERMINATE,0,False,60.40227318724569,0.0313780498378699,INDETERMINATE,0,False,60.4280805121409,0.0606073637494561,INDETERMINATE,0000,p0000,True,-0.0539284331614169,-0.0281211082662053,0.0258073248952115,UNKNOWN,False,60.0,60.00647977087647,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_105.cnf,False,UNKNOWN,False,55.0,55.00806662905961,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_106.cnf,0,False,60.28305401535034,0.0054434937200882,INDETERMINATE,0,False,60.4597326204071,0.0308693083901508,INDETERMINATE,0,False,60.39317585391236,0.0427746231501925,INDETERMINATE,0,False,60.42287884547424,0.0391274829093142,INDETERMINATE,0000,p0000,True,-0.0665567664947417,-0.0368537749328652,0.0297029915618765,UNKNOWN,False,60.0,60.0079249907285,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_106.cnf,False,UNKNOWN,False,55.0,55.00860542897135,False,0.0,True,False,60.0,full,5.0,55.0,False,False
